device_id,text_path,total_words,term_basic_rights,term_fundamental_rights,term_fairness,term_equity,term_representativeness,term_representation,policy_discourse_terms_count,policy_discourse_terms_per_1k_words,policy_discourse_terms_first_third,policy_discourse_terms_middle_third,policy_discourse_terms_last_third,term_auc,term_accuracy,term_sensitivity,term_specificity,term_error_rate,tech_stat_terms_count,tech_stat_terms_per_1k_words,tech_stat_terms_first_third,tech_stat_terms_middle_third,tech_stat_terms_last_third,bio_label_terms_count,bio_label_terms_per_1k_words,bio_label_terms_first_third,bio_label_terms_middle_third,bio_label_terms_last_third,term_race,term_ethnicity,term_gender,term_age,social_identity_terms_count,social_identity_terms_per_1k_words,social_identity_terms_first_third,social_identity_terms_middle_third,social_identity_terms_last_third,term_socioeconomic_status,term_poverty,term_housing,term_class,term_neighborhood,term_environment,structural_social_terms_count,structural_social_terms_per_1k_words,structural_social_terms_first_third,structural_social_terms_middle_third,structural_social_terms_last_third,subgroup_sentence_count,subgroup_with_race_count,subgroup_with_race_and_error_rate_count,race_in_subgroup_ratio,race_subgroup_errorrate_ratio,term_class_structural,term_housing_instability,structural_core_count,structural_core_absent,housing_instability_proxy_count,mismatch_numerator,mismatch_denominator,mismatch_metric,mismatch_metric_is_inf,mismatch_metric_safe
K003301,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K003301.txt,1556,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,2,0,6,3.8560411311053984,1,5,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,0,0,5,3.2133676092544987,2,1,2,0,0,0,0.0,0.0,0,0,0,1,0,6,5,1.2,0,1.200000
K033840,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K033840.txt,1721,0,0,0,0,0,0,0,0.0,0,0,0,0,4,3,3,0,10,5.810575246949448,7,3,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,10,0,0,10,5.810575246949448,5,1,4,0,0,0,0.0,0.0,0,0,0,1,0,10,10,1.0,0,1.000000
K043341,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K043341.txt,7174,0,0,0,0,0,0,0,0.0,0,0,0,0,0,5,5,0,10,1.3939224979091163,2,8,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,9,0,0,9,1.2545302481182046,4,0,5,0,0,0,0.0,0.0,0,0,0,1,0,10,9,1.1111111111111112,0,1.111111
K080595,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K080595.txt,1514,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0.6605019815059445,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,0,0,6,3.963011889035667,2,2,2,0,0,0,0.0,0.0,0,0,0,1,0,1,6,0.16666666666666666,0,0.166667
K080762,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K080762.txt,1456,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,0,0,5,3.434065934065934,2,3,0,0,0,0,0.0,0.0,0,0,0,1,0,0,5,0.0,0,0.000000
K080896,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K080896.txt,3057,0,0,0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,3,0.9813542688910696,0,3,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,0,0,4,1.3084723585214262,1,0,3,0,0,0,0.0,0.0,0,0,0,1,0,3,4,0.75,0,0.750000
K081140,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K081140.txt,1734,0,0,0,0,0,2,2,1.1534025374855825,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,0,0,4,2.306805074971165,0,4,0,0,0,0,0.0,0.0,0,0,0,1,0,0,4,0.0,0,0.000000
K082483,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K082483.txt,1317,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,0,0,6,4.555808656036446,2,3,1,0,0,0,0.0,0.0,0,0,0,1,0,0,6,0.0,0,0.000000
K092116,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K092116.txt,1787,0,0,0,0,0,0,0,0.0,0,0,0,0,2,4,4,0,10,5.595970900951315,0,10,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,0,0,4,2.2383883603805264,1,2,1,0,0,0,0.0,0.0,0,0,0,1,0,10,4,2.5,0,2.500000
K092967,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K092967.txt,6245,0,0,0,0,0,0,0,0.0,0,0,0,0,5,1,1,0,7,1.120896717373899,0,6,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,0,0,4,0.6405124099279423,1,0,3,0,0,0,0.0,0.0,0,0,0,1,0,7,4,1.75,0,1.750000
K102778,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K102778.txt,1893,0,0,0,0,0,0,0,0.0,0,0,0,0,5,0,0,0,5,2.641310089804543,0,5,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,8,0,0,8,4.226096143687269,3,4,1,0,0,0,0.0,0.0,0,0,0,1,0,5,8,0.625,0,0.625000
K111776,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K111776.txt,1567,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,2,0,4,2.5526483726866624,0,4,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,0,0,5,3.1908104658583283,3,1,1,0,0,0,0.0,0.0,0,0,0,1,0,4,5,0.8,0,0.800000
K120161,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K120161.txt,1331,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,0,0,4,3.005259203606311,2,2,0,0,0,0,0.0,0.0,0,0,0,1,0,0,4,0.0,0,0.000000
K120489,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K120489.txt,3117,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0.32082130253448826,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,0,0,4,1.283285210137953,1,0,3,0,0,0,0.0,0.0,0,0,0,1,0,1,4,0.25,0,0.250000
K120771,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K120771.txt,7920,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,0.25252525252525254,0,2,0,0,0,0,6,0,0,6,0.7575757575757576,2,0,4,0,0,0,0.0,0.0,0,0,0,1,0,0,6,0.0,0,0.000000
K121617,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K121617.txt,1784,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,2,1.1210762331838564,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,0,1,7,3.9237668161434978,2,3,2,0,0,0,0.0,0.0,0,0,0,1,0,2,7,0.2857142857142857,0,0.285714
K123526,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K123526.txt,1364,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0.7331378299120235,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,7,0,0,7,5.131964809384164,4,1,2,0,0,0,0.0,0.0,0,0,0,1,0,1,7,0.14285714285714285,0,0.142857
K130831,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K130831.txt,8344,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,3,0.3595397890699904,3,0,0,0,0.0,0,0,0,0,0,0,9,9,1.0786193672099713,1,5,3,0,0,0,2,0,0,2,0.23969319271332692,2,0,0,0,0,0,0.0,0.0,0,0,0,1,0,3,2,1.5,0,1.500000
K131044,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K131044.txt,2068,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,2,0.9671179883945842,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,0,2,8,3.8684719535783367,4,0,4,0,0,0,0.0,0.0,0,0,0,1,0,2,8,0.25,0,0.250000
K133259,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K133259.txt,2104,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,7,0,1,8,3.802281368821293,4,2,2,0,0,0,0.0,0.0,0,0,0,1,0,0,8,0.0,0,0.000000
K133649,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K133649.txt,1587,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,0,3,1.890359168241966,0,3,0,0,0,0,0.0,0.0,0,0,0,1,0,0,3,0.0,0,0.000000
