metric,value
documents_total,1388
avg_tech_count,5.197406
avg_bio_count,0.000000
avg_social_identity_count,2.953890
avg_structural_count,7.510086
mismatch_finite_mean,0.732795
mismatch_finite_median,0.200000
mismatch_inf_count,5
top_mismatch_1,K222176:18.400000
top_mismatch_2,K221456:14.750000
top_mismatch_3,K242130:14.545455
top_mismatch_4,K212616:14.000000
top_mismatch_5,K220499:10.750000
top_mismatch_6,K212365:10.600000
top_mismatch_7,K250685:10.444444
top_mismatch_8,K240003:9.500000
top_mismatch_9,K231871:9.000000
top_mismatch_10,K152733:8.833333
