device_id,sponsor_applicant,fda_regulator,clinician_hcp,device_algorithm,dominant_agency,metric_mentions,has_clinician_aid
K003301,1,8,0,5,fda_regulator,6,False
K033840,1,9,0,10,device_algorithm,10,False
K043341,2,10,4,3,fda_regulator,10,True
K080595,1,9,0,7,fda_regulator,1,False
K080762,2,10,2,4,fda_regulator,0,False
K080896,0,9,3,4,fda_regulator,3,False
K081140,1,9,8,3,fda_regulator,0,True
K082483,0,12,0,6,fda_regulator,0,False
K092116,1,5,0,8,device_algorithm,10,False
K092967,0,21,5,6,fda_regulator,8,False
K102778,1,6,0,6,fda_regulator,5,False
K111776,1,11,7,3,fda_regulator,5,False
K120161,1,9,0,14,device_algorithm,0,False
K120489,0,11,3,6,fda_regulator,1,False
K120771,0,10,0,4,fda_regulator,0,False
K121617,1,14,4,4,fda_regulator,2,False
K123526,1,10,1,4,fda_regulator,1,False
K130831,3,0,0,1,sponsor_applicant,3,False
K131044,1,13,8,7,fda_regulator,2,False
K133259,1,6,1,7,device_algorithm,0,False
K133649,2,9,0,3,fda_regulator,0,False
K141069,4,14,3,4,fda_regulator,0,True
K141480,2,16,7,10,fda_regulator,0,True
K141922,2,15,3,5,fda_regulator,0,False
K142037,1,15,0,5,fda_regulator,1,False
K142512,2,16,3,7,fda_regulator,0,False
K142918,2,14,10,7,fda_regulator,0,False
K143643,2,15,2,7,fda_regulator,0,False
K150102,1,14,0,4,fda_regulator,0,False
K150817,3,15,0,5,fda_regulator,3,False
K152733,4,14,7,12,fda_regulator,57,True
K153351,3,13,0,3,fda_regulator,2,False
K153427,2,15,3,8,fda_regulator,1,False
K160016,4,14,3,5,fda_regulator,0,False
K160088,7,19,0,8,fda_regulator,3,False
K160338,3,13,0,14,device_algorithm,0,False
K160401,2,14,11,3,fda_regulator,0,False
K161068,2,15,1,10,fda_regulator,7,False
K161148,4,13,0,5,fda_regulator,2,False
K161201,2,13,4,5,fda_regulator,2,False
K161322,3,13,2,4,fda_regulator,13,False
K161382,3,13,4,3,fda_regulator,18,True
K161625,2,16,1,7,fda_regulator,0,False
K161772,4,13,6,8,fda_regulator,17,True
K161834,2,15,0,4,fda_regulator,0,False
K161959,5,14,7,11,fda_regulator,1,False
K162830,2,12,0,8,fda_regulator,0,False
K162855,2,19,0,5,fda_regulator,0,False
K163013,3,13,0,6,fda_regulator,0,False
K163138,3,21,0,7,fda_regulator,0,False
K163253,2,17,5,6,fda_regulator,0,False
K163339,1,14,0,6,fda_regulator,0,False
K163622,1,12,1,4,fda_regulator,1,True
K163623,3,14,0,5,fda_regulator,4,False
K163665,5,13,17,22,device_algorithm,0,False
K163694,3,13,0,9,fda_regulator,0,False
K170069,9,16,1,25,device_algorithm,10,False
K170172,2,15,0,10,fda_regulator,0,False
K170250,1,10,2,8,fda_regulator,1,False
K170540,4,16,1,5,fda_regulator,3,False
K170568,5,15,5,5,fda_regulator,0,False
K170747,1,16,4,8,fda_regulator,0,True
K170981,3,13,2,7,fda_regulator,3,False
K171056,2,15,0,5,fda_regulator,0,False
K171122,2,15,0,6,fda_regulator,1,False
K171315,2,13,0,10,fda_regulator,4,False
K171328,6,14,0,7,fda_regulator,2,False
K171936,2,17,7,5,fda_regulator,0,False
K172122,2,15,3,6,fda_regulator,0,True
K172356,2,20,0,5,fda_regulator,1,False
K172385,3,27,0,9,fda_regulator,0,False
K172507,2,15,3,5,fda_regulator,0,False
K172803,3,17,6,9,fda_regulator,0,False
K172959,3,14,2,5,fda_regulator,0,False
K172983,2,18,5,7,fda_regulator,1,False
K173327,4,19,10,14,fda_regulator,5,False
K173420,5,18,0,10,fda_regulator,0,False
K173444,1,16,0,5,fda_regulator,0,False
K173542,2,19,2,9,fda_regulator,0,False
K173574,2,16,4,14,fda_regulator,0,False
K173588,6,22,0,9,fda_regulator,0,False
K173605,2,15,0,12,fda_regulator,0,False
K173749,1,18,1,3,fda_regulator,0,False
K173780,2,14,7,13,fda_regulator,0,True
K173810,3,16,0,4,fda_regulator,1,False
K173821,2,15,3,5,fda_regulator,0,True
K173839,2,16,3,3,fda_regulator,1,False
K173872,11,26,3,7,fda_regulator,7,False
K173939,3,15,0,3,fda_regulator,0,False
K180038,1,21,2,9,fda_regulator,1,False
K180091,2,16,0,10,fda_regulator,0,False
K180126,2,15,3,7,fda_regulator,0,True
K180161,2,15,0,13,fda_regulator,0,False
K180163,2,17,0,9,fda_regulator,0,False
K180343,2,19,0,4,fda_regulator,5,False
K180432,4,28,13,7,fda_regulator,0,True
K180589,3,21,0,14,fda_regulator,0,False
K180599,2,58,0,4,fda_regulator,0,False
K180647,2,16,13,16,fda_regulator,5,False
K180799,3,28,0,7,fda_regulator,0,False
K180867,7,23,15,28,device_algorithm,11,False
K181247,5,25,6,21,fda_regulator,0,False
K181288,2,15,1,9,fda_regulator,4,False
K181352,3,33,4,5,fda_regulator,10,False
K181502,2,20,2,8,fda_regulator,0,False
K181572,5,21,1,10,fda_regulator,0,False
K181574,1,16,0,4,fda_regulator,2,False
K181685,2,25,2,6,fda_regulator,0,False
K181704,4,26,5,16,fda_regulator,25,True
K181771,4,20,0,8,fda_regulator,1,False
K181823,4,18,5,9,fda_regulator,0,False
K181861,4,18,2,11,fda_regulator,0,False
K181892,2,18,0,3,fda_regulator,0,False
K181916,4,37,22,11,fda_regulator,1,False
K181939,5,18,0,6,fda_regulator,5,False
K181988,2,21,11,4,fda_regulator,11,False
K182034,2,17,2,7,fda_regulator,0,True
K182035,3,15,4,7,fda_regulator,0,False
K182112,5,20,3,5,fda_regulator,0,False
K182130,2,19,6,9,fda_regulator,0,True
K182149,4,23,4,14,fda_regulator,30,False
K182177,2,16,1,9,fda_regulator,8,False
K182181,1,19,1,4,fda_regulator,0,False
K182218,1,27,6,9,fda_regulator,11,False
K182310,2,20,3,13,fda_regulator,0,False
K182336,3,15,0,10,fda_regulator,0,False
K182344,5,25,2,3,fda_regulator,2,False
K182373,3,19,16,11,fda_regulator,34,False
K182384,2,18,1,14,fda_regulator,5,False
K182419,2,23,2,19,fda_regulator,0,True
K182456,2,24,8,5,fda_regulator,0,False
K182513,1,18,0,3,fda_regulator,0,False
K182564,2,18,0,5,fda_regulator,0,False
K182616,2,19,3,16,fda_regulator,0,False
K182790,2,23,10,12,fda_regulator,0,True
K182798,4,19,1,10,fda_regulator,4,True
K182875,2,20,0,20,fda_regulator,5,False
K182901,2,20,4,6,fda_regulator,2,False
K183012,2,19,1,4,fda_regulator,0,False
K183019,2,18,3,14,fda_regulator,8,True
K183046,2,20,4,6,fda_regulator,2,False
K183089,4,18,3,7,fda_regulator,3,False
K183133,9,18,21,17,clinician_hcp,8,True
K183182,3,26,8,5,fda_regulator,27,False
K183202,4,25,2,38,device_algorithm,2,False
K183204,3,23,3,12,fda_regulator,0,True
K183231,2,23,2,4,fda_regulator,0,False
K183268,2,20,0,21,device_algorithm,0,False
K183271,2,20,0,15,fda_regulator,0,False
K183272,2,20,0,14,fda_regulator,0,False
K183274,6,22,4,5,fda_regulator,0,False
K183282,2,27,8,12,fda_regulator,0,False
K183285,3,19,28,19,clinician_hcp,37,False
K183322,3,23,5,5,fda_regulator,0,False
K183370,3,20,2,4,fda_regulator,0,True
K183460,5,22,0,6,fda_regulator,0,False
K183489,2,18,0,5,fda_regulator,1,False
K183593,0,0,0,0,none,0,False
K183646,2,18,2,4,fda_regulator,0,False
K183648,1,16,0,7,fda_regulator,0,False
K183704,2,18,1,13,fda_regulator,0,False
K190013,3,26,4,15,fda_regulator,0,False
K190017,6,19,9,9,fda_regulator,2,False
K190072,2,16,10,21,device_algorithm,9,False
K190334,2,18,4,8,fda_regulator,1,False
K190362,2,19,7,8,fda_regulator,6,False
K190387,1,18,0,4,fda_regulator,0,False
K190424,2,19,5,11,fda_regulator,6,False
K190442,6,20,7,17,fda_regulator,22,False
K190529,2,19,1,6,fda_regulator,0,False
K190593,2,24,0,3,fda_regulator,1,False
K190764,1,22,1,16,fda_regulator,0,False
K190815,2,20,2,6,fda_regulator,6,False
K190868,2,21,2,24,device_algorithm,0,False
K190896,2,18,8,18,fda_regulator,6,False
K190898,2,18,0,9,fda_regulator,6,False
K190925,4,18,4,7,fda_regulator,0,True
K191026,6,19,0,8,fda_regulator,0,False
K191083,7,18,3,10,fda_regulator,0,False
K191125,3,37,2,9,fda_regulator,3,False
K191171,3,20,5,12,fda_regulator,1,True
K191179,3,18,0,3,fda_regulator,0,False
K191183,4,18,0,10,fda_regulator,0,False
K191194,4,20,0,27,device_algorithm,0,False
K191262,3,20,0,16,fda_regulator,1,False
K191278,4,21,4,4,fda_regulator,1,False
K191370,3,19,1,15,fda_regulator,9,False
K191384,1,18,0,3,fda_regulator,0,False
K191493,3,21,0,6,fda_regulator,1,False
K191550,5,18,7,4,fda_regulator,1,False
K191556,3,18,2,9,fda_regulator,10,False
K191585,5,21,1,11,fda_regulator,0,True
K191647,2,19,0,8,fda_regulator,0,False
K191688,3,17,0,13,fda_regulator,0,False
K191713,1,32,6,6,fda_regulator,0,False
K191928,2,21,0,6,fda_regulator,2,False
K191994,4,18,5,5,fda_regulator,22,False
K192004,2,20,6,18,fda_regulator,9,True
K192051,4,18,2,4,fda_regulator,8,False
K192065,2,20,0,10,fda_regulator,0,False
K192107,3,31,0,6,fda_regulator,0,False
K192109,2,19,0,9,fda_regulator,7,False
K192130,3,18,0,6,fda_regulator,2,False
K192167,3,19,2,13,fda_regulator,19,False
K192279,2,19,0,14,fda_regulator,0,False
K192287,4,25,3,16,fda_regulator,1,False
K192304,2,18,0,11,fda_regulator,0,False
K192320,2,19,5,13,fda_regulator,21,False
K192377,2,23,0,6,fda_regulator,0,False
K192383,2,18,15,22,device_algorithm,10,False
K192388,2,20,3,5,fda_regulator,0,False
K192415,4,18,6,4,fda_regulator,8,False
K192437,2,20,1,7,fda_regulator,0,False
K192442,3,22,5,14,fda_regulator,7,False
K192455,3,42,1,10,fda_regulator,0,True
K192531,2,24,2,6,fda_regulator,3,False
K192571,1,18,0,3,fda_regulator,0,False
K192574,2,19,2,7,fda_regulator,0,False
K192601,2,19,1,7,fda_regulator,0,False
K192665,3,25,0,6,fda_regulator,1,False
K192732,3,18,2,4,fda_regulator,0,False
K192763,2,19,3,9,fda_regulator,1,True
K192828,1,18,7,5,fda_regulator,4,False
K192832,2,20,3,5,fda_regulator,2,False
K192854,2,19,9,21,device_algorithm,78,False
K192880,2,19,7,12,fda_regulator,5,False
K192901,2,19,12,12,fda_regulator,10,False
K192945,2,26,0,10,fda_regulator,6,False
K192956,3,26,0,7,fda_regulator,1,False
K192962,5,18,0,9,fda_regulator,7,False
K192969,3,19,2,7,fda_regulator,0,False
K192973,4,19,3,7,fda_regulator,5,False
K193073,2,19,1,9,fda_regulator,0,False
K193087,2,18,15,19,device_algorithm,4,False
K193097,2,20,2,8,fda_regulator,0,False
K193109,5,20,0,5,fda_regulator,13,False
K193170,4,25,0,34,device_algorithm,2,False
K193176,2,20,2,5,fda_regulator,0,True
K193178,4,15,1,8,fda_regulator,4,True
K193210,2,19,0,5,fda_regulator,0,False
K193216,7,24,11,33,device_algorithm,7,False
K193220,2,21,3,7,fda_regulator,4,True
K193229,4,25,1,16,fda_regulator,10,True
K193248,5,20,2,9,fda_regulator,7,True
K193252,2,20,0,4,fda_regulator,0,False
K193267,6,19,0,13,fda_regulator,0,False
K193271,2,18,10,16,fda_regulator,7,False
K193281,2,21,0,7,fda_regulator,0,False
K193282,3,21,2,4,fda_regulator,0,True
K193283,2,23,5,7,fda_regulator,1,False
K193287,2,19,0,5,fda_regulator,6,False
K193289,5,27,7,16,fda_regulator,0,True
K193290,2,24,1,7,fda_regulator,0,False
K193294,2,24,0,13,fda_regulator,0,False
K193298,2,16,11,18,device_algorithm,16,False
K193300,2,18,5,20,device_algorithm,9,False
K193306,3,22,4,9,fda_regulator,1,False
K193351,2,17,11,21,device_algorithm,12,False
K193417,4,21,0,13,fda_regulator,23,False
K193518,2,18,2,8,fda_regulator,0,False
K193562,3,24,0,17,fda_regulator,1,False
K193631,2,21,2,8,fda_regulator,5,False
K193658,3,18,3,9,fda_regulator,22,False
K200036,5,25,6,8,fda_regulator,0,False
K200232,4,19,10,8,fda_regulator,2,True
K200323,4,21,0,15,fda_regulator,0,False
K200356,2,21,1,6,fda_regulator,0,False
K200497,2,23,2,5,fda_regulator,0,False
K200569,1,18,0,4,fda_regulator,0,False
K200595,2,20,0,30,device_algorithm,5,False
K200621,2,17,3,11,fda_regulator,3,True
K200667,3,19,1,9,fda_regulator,60,False
K200708,2,23,0,5,fda_regulator,0,False
K200714,2,28,5,16,fda_regulator,0,True
K200717,2,18,5,6,fda_regulator,4,False
K200743,2,23,2,5,fda_regulator,0,False
K200750,3,18,5,12,fda_regulator,0,True
K200755,2,18,3,6,fda_regulator,0,False
K200760,2,18,28,19,clinician_hcp,1,True
K200828,3,18,13,11,fda_regulator,4,False
K200833,2,18,1,14,fda_regulator,0,False
K200851,2,23,0,5,fda_regulator,0,False
K200852,2,23,2,3,fda_regulator,0,False
K200855,4,19,6,23,device_algorithm,24,False
K200873,3,21,1,7,fda_regulator,5,False
K200905,3,19,11,11,fda_regulator,23,False
K200921,2,18,2,25,device_algorithm,9,False
K200941,2,18,12,18,fda_regulator,8,False
K200974,4,18,0,4,fda_regulator,0,False
K200980,3,20,6,7,fda_regulator,1,True
K200990,4,19,5,10,fda_regulator,0,True
K201012,8,38,0,3,fda_regulator,0,False
K201019,3,24,8,15,fda_regulator,7,True
K201020,2,17,12,24,device_algorithm,6,False
K201034,3,18,3,12,fda_regulator,0,True
K201039,1,24,8,5,fda_regulator,6,False
K201103,2,27,3,7,fda_regulator,0,True
K201195,4,26,5,10,fda_regulator,0,True
K201232,3,19,0,15,fda_regulator,0,False
K201298,2,18,2,8,fda_regulator,1,False
K201301,6,21,0,6,fda_regulator,8,False
K201310,2,17,2,10,fda_regulator,12,False
K201369,4,21,8,29,device_algorithm,2,False
K201411,3,19,0,3,fda_regulator,1,False
K201444,3,19,0,12,fda_regulator,0,False
K201555,2,20,4,13,fda_regulator,7,False
K201560,3,26,6,9,fda_regulator,1,True
K201615,2,24,3,5,fda_regulator,1,False
K201632,3,21,3,5,fda_regulator,0,False
K201710,2,24,1,6,fda_regulator,0,True
K201745,5,27,2,35,device_algorithm,4,False
K201836,2,20,3,6,fda_regulator,2,False
K201841,4,18,0,7,fda_regulator,0,False
K201985,5,20,4,11,fda_regulator,0,False
K201992,2,18,3,4,fda_regulator,0,False
K202013,2,20,6,5,fda_regulator,1,False
K202089,3,22,0,4,fda_regulator,4,False
K202170,4,18,16,13,fda_regulator,4,True
