device_id,eu_data_prep_doc,eu_representation_doc,eu_bias_mitigation_doc,eu_oversight_postmarket_doc,eu_structural_context_doc,eu_high_risk_score,eu_alignment_level
K003301,1,0,0,0,0,0.2,likely_non_aligned
K033840,1,0,0,0,0,0.2,likely_non_aligned
K043341,1,0,0,0,0,0.2,likely_non_aligned
K080595,1,0,0,0,0,0.2,likely_non_aligned
K080762,1,0,0,0,0,0.2,likely_non_aligned
K080896,1,0,0,0,0,0.2,likely_non_aligned
K081140,1,0,1,1,0,0.55,likely_non_aligned
K082483,1,0,0,1,0,0.35,likely_non_aligned
K092116,1,0,0,0,0,0.2,likely_non_aligned
K092967,1,0,0,0,0,0.2,likely_non_aligned
K102778,1,0,0,0,0,0.2,likely_non_aligned
K111776,1,0,0,0,0,0.2,likely_non_aligned
K120161,1,0,0,0,0,0.2,likely_non_aligned
K120489,1,0,0,0,0,0.2,likely_non_aligned
K120771,1,1,1,1,0,0.7500000000000001,likely_non_aligned
K121617,1,0,0,0,0,0.2,likely_non_aligned
K123526,1,0,0,0,0,0.2,likely_non_aligned
K130831,1,1,1,1,0,0.7500000000000001,likely_non_aligned
K131044,1,0,0,1,0,0.35,likely_non_aligned
K133259,1,0,1,0,0,0.4,likely_non_aligned
K133649,1,0,1,0,0,0.4,likely_non_aligned
K141069,1,0,0,0,0,0.2,likely_non_aligned
K141480,1,0,0,1,0,0.35,likely_non_aligned
K141922,1,0,0,1,0,0.35,likely_non_aligned
K142037,1,0,0,1,0,0.35,likely_non_aligned
K142512,1,0,0,1,0,0.35,likely_non_aligned
K142918,1,1,0,1,0,0.55,likely_non_aligned
K143643,1,0,0,1,0,0.35,likely_non_aligned
K150102,1,0,0,1,0,0.35,likely_non_aligned
K150817,1,0,1,1,0,0.55,likely_non_aligned
K152733,1,1,1,0,0,0.6000000000000001,likely_non_aligned
K153351,1,0,0,1,0,0.35,likely_non_aligned
K153427,1,1,0,1,0,0.55,likely_non_aligned
K160016,1,0,0,1,0,0.35,likely_non_aligned
K160088,1,0,0,1,0,0.35,likely_non_aligned
K160338,1,0,1,1,0,0.55,likely_non_aligned
K160401,1,0,0,0,0,0.2,likely_non_aligned
K161068,1,1,1,1,0,0.7500000000000001,likely_non_aligned
K161148,1,0,0,0,0,0.2,likely_non_aligned
K161201,1,0,1,0,0,0.4,likely_non_aligned
K161322,1,0,0,1,0,0.35,likely_non_aligned
K161382,1,0,1,0,0,0.4,likely_non_aligned
K161625,1,0,0,1,0,0.35,likely_non_aligned
K161772,1,0,0,0,0,0.2,likely_non_aligned
K161834,1,0,1,1,0,0.55,likely_non_aligned
K161959,1,0,0,1,0,0.35,likely_non_aligned
K162830,1,0,0,0,0,0.2,likely_non_aligned
K162855,1,0,0,1,0,0.35,likely_non_aligned
K163013,1,0,0,1,0,0.35,likely_non_aligned
K163138,1,0,0,1,0,0.35,likely_non_aligned
K163253,1,0,0,0,0,0.2,likely_non_aligned
K163339,1,0,0,1,0,0.35,likely_non_aligned
K163622,1,0,0,1,0,0.35,likely_non_aligned
K163623,1,0,0,1,0,0.35,likely_non_aligned
K163665,1,1,1,1,0,0.7500000000000001,likely_non_aligned
K163694,1,1,1,1,0,0.7500000000000001,likely_non_aligned
K170069,1,0,0,0,0,0.2,likely_non_aligned
K170172,1,0,0,0,0,0.2,likely_non_aligned
K170250,1,0,1,1,0,0.55,likely_non_aligned
K170540,1,1,0,0,0,0.4,likely_non_aligned
K170568,1,1,0,1,0,0.55,likely_non_aligned
K170747,1,0,1,1,0,0.55,likely_non_aligned
K170981,1,1,0,0,0,0.4,likely_non_aligned
K171056,1,0,0,1,0,0.35,likely_non_aligned
K171122,1,0,0,0,0,0.2,likely_non_aligned
K171315,1,0,0,0,0,0.2,likely_non_aligned
K171328,1,1,1,1,0,0.7500000000000001,likely_non_aligned
K171936,1,0,0,1,0,0.35,likely_non_aligned
K172122,1,0,0,1,0,0.35,likely_non_aligned
K172356,1,0,1,1,0,0.55,likely_non_aligned
K172385,1,0,0,1,0,0.35,likely_non_aligned
K172507,1,0,0,1,0,0.35,likely_non_aligned
K172803,1,0,0,1,0,0.35,likely_non_aligned
K172959,1,1,0,1,0,0.55,likely_non_aligned
K172983,1,1,1,0,0,0.6000000000000001,likely_non_aligned
K173327,1,0,1,1,0,0.55,likely_non_aligned
K173420,1,0,0,0,0,0.2,likely_non_aligned
K173444,1,0,0,0,0,0.2,likely_non_aligned
K173542,1,0,1,1,0,0.55,likely_non_aligned
K173574,1,0,0,1,0,0.35,likely_non_aligned
K173588,1,0,0,1,0,0.35,likely_non_aligned
K173605,1,0,1,1,0,0.55,likely_non_aligned
K173749,1,0,0,0,0,0.2,likely_non_aligned
K173780,1,1,1,1,0,0.7500000000000001,likely_non_aligned
K173810,1,0,0,1,0,0.35,likely_non_aligned
K173821,1,0,0,0,0,0.2,likely_non_aligned
K173839,1,0,0,0,0,0.2,likely_non_aligned
K173872,1,0,0,1,0,0.35,likely_non_aligned
K173939,1,0,0,1,0,0.35,likely_non_aligned
K180038,1,0,1,1,0,0.55,likely_non_aligned
K180091,1,0,0,0,0,0.2,likely_non_aligned
K180126,1,0,0,0,0,0.2,likely_non_aligned
K180161,1,0,0,1,0,0.35,likely_non_aligned
K180163,1,1,1,1,0,0.7500000000000001,likely_non_aligned
K180343,1,0,1,0,0,0.4,likely_non_aligned
K180432,1,0,0,1,0,0.35,likely_non_aligned
K180589,1,1,1,1,0,0.7500000000000001,likely_non_aligned
K180599,1,0,0,1,0,0.35,likely_non_aligned
K180647,1,0,0,0,0,0.2,likely_non_aligned
K180799,1,0,1,1,0,0.55,likely_non_aligned
K180867,1,0,0,1,0,0.35,likely_non_aligned
K181247,1,0,0,1,0,0.35,likely_non_aligned
K181288,1,0,1,0,0,0.4,likely_non_aligned
K181352,1,0,0,1,0,0.35,likely_non_aligned
K181502,1,0,1,1,0,0.55,likely_non_aligned
K181572,1,0,1,0,0,0.4,likely_non_aligned
K181574,1,0,0,1,0,0.35,likely_non_aligned
K181685,1,0,0,1,0,0.35,likely_non_aligned
K181704,1,0,1,1,0,0.55,likely_non_aligned
K181771,1,0,0,1,0,0.35,likely_non_aligned
K181823,1,1,0,1,0,0.55,likely_non_aligned
K181861,1,1,0,1,0,0.55,likely_non_aligned
K181892,1,0,0,1,0,0.35,likely_non_aligned
K181916,1,0,1,1,0,0.55,likely_non_aligned
K181939,1,0,0,0,0,0.2,likely_non_aligned
K181988,1,0,0,0,0,0.2,likely_non_aligned
K182034,1,1,0,1,0,0.55,likely_non_aligned
K182035,1,0,0,0,0,0.2,likely_non_aligned
K182112,1,0,1,0,0,0.4,likely_non_aligned
K182130,1,0,1,1,0,0.55,likely_non_aligned
K182149,1,1,0,1,0,0.55,likely_non_aligned
K182177,1,0,1,0,0,0.4,likely_non_aligned
K182181,1,0,0,1,0,0.35,likely_non_aligned
K182218,1,0,1,1,0,0.55,likely_non_aligned
K182310,1,0,1,1,0,0.55,likely_non_aligned
K182336,1,0,0,0,0,0.2,likely_non_aligned
K182344,1,1,0,1,0,0.55,likely_non_aligned
K182373,1,0,1,1,0,0.55,likely_non_aligned
K182384,1,0,1,0,0,0.4,likely_non_aligned
K182419,1,0,1,1,0,0.55,likely_non_aligned
K182456,1,1,1,1,0,0.7500000000000001,likely_non_aligned
K182513,1,0,0,0,0,0.2,likely_non_aligned
K182564,1,0,0,1,0,0.35,likely_non_aligned
K182616,1,0,0,0,0,0.2,likely_non_aligned
K182790,1,1,0,1,0,0.55,likely_non_aligned
K182798,1,0,0,1,0,0.35,likely_non_aligned
K182875,1,0,0,0,0,0.2,likely_non_aligned
K182901,1,0,0,1,0,0.35,likely_non_aligned
K183012,1,0,1,0,0,0.4,likely_non_aligned
K183019,1,0,1,0,0,0.4,likely_non_aligned
K183046,1,0,0,1,0,0.35,likely_non_aligned
K183089,1,1,0,1,0,0.55,likely_non_aligned
K183133,1,0,1,1,0,0.55,likely_non_aligned
K183182,1,1,0,0,0,0.4,likely_non_aligned
K183202,1,0,1,1,0,0.55,likely_non_aligned
K183204,1,0,0,0,0,0.2,likely_non_aligned
K183231,1,0,0,0,0,0.2,likely_non_aligned
K183268,1,0,1,1,0,0.55,likely_non_aligned
K183271,1,0,1,1,0,0.55,likely_non_aligned
K183272,1,0,1,1,0,0.55,likely_non_aligned
K183274,1,0,1,1,0,0.55,likely_non_aligned
K183282,1,0,0,1,0,0.35,likely_non_aligned
K183285,1,1,0,0,0,0.4,likely_non_aligned
K183322,1,1,0,1,0,0.55,likely_non_aligned
K183370,1,0,0,1,0,0.35,likely_non_aligned
K183460,1,0,0,1,0,0.35,likely_non_aligned
K183489,1,0,0,0,0,0.2,likely_non_aligned
K183593,0,0,0,0,0,0.0,likely_non_aligned
K183646,1,0,0,1,0,0.35,likely_non_aligned
K183648,1,0,1,0,0,0.4,likely_non_aligned
K183704,1,0,0,1,0,0.35,likely_non_aligned
K190013,1,0,1,1,0,0.55,likely_non_aligned
K190017,1,0,1,1,0,0.55,likely_non_aligned
K190072,1,0,0,0,0,0.2,likely_non_aligned
K190334,1,1,0,1,0,0.55,likely_non_aligned
K190362,1,1,0,0,0,0.4,likely_non_aligned
K190387,1,0,0,0,0,0.2,likely_non_aligned
K190424,1,1,0,0,0,0.4,likely_non_aligned
K190442,1,1,0,0,0,0.4,likely_non_aligned
K190529,1,1,0,0,0,0.4,likely_non_aligned
K190593,1,0,0,1,0,0.35,likely_non_aligned
K190764,1,0,0,1,0,0.35,likely_non_aligned
K190815,1,1,1,1,0,0.7500000000000001,likely_non_aligned
K190868,1,0,1,1,0,0.55,likely_non_aligned
K190896,1,0,0,0,0,0.2,likely_non_aligned
K190898,1,1,1,1,0,0.7500000000000001,likely_non_aligned
K190925,1,0,0,1,0,0.35,likely_non_aligned
K191026,1,0,0,0,0,0.2,likely_non_aligned
K191083,1,0,1,0,0,0.4,likely_non_aligned
K191125,1,0,0,0,0,0.2,likely_non_aligned
K191171,1,1,1,1,0,0.7500000000000001,likely_non_aligned
K191179,1,0,1,1,0,0.55,likely_non_aligned
K191183,1,1,0,1,0,0.55,likely_non_aligned
K191194,1,1,1,1,0,0.7500000000000001,likely_non_aligned
K191262,1,0,0,1,0,0.35,likely_non_aligned
K191278,1,0,0,0,0,0.2,likely_non_aligned
K191370,1,1,1,1,0,0.7500000000000001,likely_non_aligned
K191384,1,0,0,1,0,0.35,likely_non_aligned
K191493,1,0,0,0,0,0.2,likely_non_aligned
K191550,1,0,1,0,0,0.4,likely_non_aligned
K191556,1,0,0,0,0,0.2,likely_non_aligned
K191585,1,0,1,1,0,0.55,likely_non_aligned
K191647,1,0,0,1,0,0.35,likely_non_aligned
K191688,1,0,1,0,0,0.4,likely_non_aligned
K191713,1,0,1,1,0,0.55,likely_non_aligned
K191928,1,0,0,0,0,0.2,likely_non_aligned
K191994,1,0,1,1,0,0.55,likely_non_aligned
K192004,1,1,0,1,0,0.55,likely_non_aligned
K192051,1,1,0,1,0,0.55,likely_non_aligned
K192065,1,0,1,1,0,0.55,likely_non_aligned
K192107,1,0,0,1,0,0.35,likely_non_aligned
K192109,1,0,0,0,0,0.2,likely_non_aligned
K192130,1,0,1,1,0,0.55,likely_non_aligned
K192167,1,0,0,0,0,0.2,likely_non_aligned
K192279,1,0,1,1,0,0.55,likely_non_aligned
K192287,1,0,1,1,0,0.55,likely_non_aligned
K192304,1,0,0,1,0,0.35,likely_non_aligned
K192320,1,1,0,0,0,0.4,likely_non_aligned
K192377,1,0,0,1,0,0.35,likely_non_aligned
K192383,1,1,0,0,0,0.4,likely_non_aligned
K192388,1,0,0,1,0,0.35,likely_non_aligned
K192415,1,0,0,1,0,0.35,likely_non_aligned
K192437,1,0,0,1,0,0.35,likely_non_aligned
K192442,1,0,0,1,0,0.35,likely_non_aligned
K192455,1,0,0,1,0,0.35,likely_non_aligned
K192531,1,1,1,1,0,0.7500000000000001,likely_non_aligned
K192571,1,0,0,0,0,0.2,likely_non_aligned
K192574,1,0,0,1,0,0.35,likely_non_aligned
K192601,1,0,0,1,0,0.35,likely_non_aligned
K192665,1,0,1,1,0,0.55,likely_non_aligned
K192732,1,0,0,1,0,0.35,likely_non_aligned
K192763,1,0,1,1,0,0.55,likely_non_aligned
K192828,1,0,0,1,0,0.35,likely_non_aligned
K192832,1,0,0,1,0,0.35,likely_non_aligned
K192854,1,0,0,0,0,0.2,likely_non_aligned
K192880,1,0,0,1,0,0.35,likely_non_aligned
K192901,1,1,0,0,0,0.4,likely_non_aligned
K192945,1,0,1,0,0,0.4,likely_non_aligned
K192956,1,0,1,1,0,0.55,likely_non_aligned
K192962,1,0,0,0,0,0.2,likely_non_aligned
K192969,1,0,0,1,0,0.35,likely_non_aligned
K192973,1,1,0,0,0,0.4,likely_non_aligned
K193073,1,0,1,1,0,0.55,likely_non_aligned
K193087,1,0,0,1,0,0.35,likely_non_aligned
K193097,1,0,0,1,0,0.35,likely_non_aligned
K193109,1,0,0,1,0,0.35,likely_non_aligned
K193170,1,0,0,1,0,0.35,likely_non_aligned
K193176,1,0,0,0,0,0.2,likely_non_aligned
K193178,1,0,1,1,0,0.55,likely_non_aligned
