device_id,has_a_normative_fairness,has_a_legacy_with_representation,has_a_representation_demographic,has_b,has_c,has_scenario_explicit,has_scenario_setting,has_scenario_workflow,has_scenario_population,has_fairness_broad,has_demographic,has_subgroup,normative_terms_hit,has_representation_token,representation_category
K003301,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K033840,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K043341,False,False,False,False,True,False,True,False,True,False,False,False,,False,
K080595,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K080762,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K080896,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K081140,False,True,False,True,True,False,True,False,False,False,False,False,,True,technical_ml
K082483,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K092116,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K092967,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K102778,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K111776,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K120161,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K120489,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K120771,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K121617,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K123526,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K130831,False,False,False,False,True,False,True,True,True,False,False,False,,False,
K131044,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K133259,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K133649,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K141069,False,False,False,True,False,False,True,False,False,False,False,False,,False,
K141480,False,False,False,True,False,False,True,False,False,False,False,False,,False,
K141922,False,False,False,True,True,False,True,True,False,False,True,False,,False,
K142037,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K142512,False,False,False,True,True,False,True,False,True,False,False,False,,False,
K142918,False,False,False,True,True,False,True,False,False,False,True,False,,False,
K143643,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K150102,False,False,False,True,False,False,True,False,False,False,False,False,,False,
K150817,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K152733,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K153351,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K153427,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K160016,False,False,False,True,True,False,True,False,True,False,False,False,,False,
K160088,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K160338,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K160401,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K161068,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K161148,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K161201,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K161322,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K161382,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K161625,False,False,False,True,True,True,True,False,False,False,False,False,,False,
K161772,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K161834,False,False,False,True,False,False,True,False,False,False,False,False,,False,
K161959,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K162830,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K162855,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K163013,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K163138,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K163253,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K163339,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K163622,False,False,False,True,True,False,True,False,True,True,False,False,,False,
K163623,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K163665,False,False,False,True,True,False,True,False,True,False,False,False,,False,
K163694,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K170069,False,False,False,True,True,False,True,False,False,False,False,False,,False,
