operationalization,metric,value
primary_fairness_frame_a_normative,documents_total,1388
primary_fairness_frame_a_normative,a_doc_count,8
primary_fairness_frame_a_normative,a_doc_rate,0.005763688760806916
primary_fairness_frame_a_normative,non_a_doc_count,1380
primary_fairness_frame_a_normative,non_a_doc_rate,0.9942363112391931
primary_fairness_frame_a_normative,b_doc_count,948
primary_fairness_frame_a_normative,b_doc_rate,0.6829971181556196
primary_fairness_frame_a_normative,c_doc_count,1357
primary_fairness_frame_a_normative,c_doc_rate,0.9776657060518732
primary_fairness_frame_a_normative,c_and_a,8
primary_fairness_frame_a_normative,c_and_a_rate,0.005763688760806916
primary_fairness_frame_a_normative,c_and_b,935
primary_fairness_frame_a_normative,c_and_b_rate,0.6736311239193083
primary_fairness_frame_a_normative,c_and_a_and_b,6
primary_fairness_frame_a_normative,c_and_a_and_b_rate,0.004322766570605188
sensitivity_legacy_frame_a_with_representation,documents_total,1388
sensitivity_legacy_frame_a_with_representation,a_doc_count,127
sensitivity_legacy_frame_a_with_representation,a_doc_rate,0.0914985590778098
sensitivity_legacy_frame_a_with_representation,non_a_doc_count,1261
sensitivity_legacy_frame_a_with_representation,non_a_doc_rate,0.9085014409221902
sensitivity_legacy_frame_a_with_representation,b_doc_count,948
sensitivity_legacy_frame_a_with_representation,b_doc_rate,0.6829971181556196
sensitivity_legacy_frame_a_with_representation,c_doc_count,1357
sensitivity_legacy_frame_a_with_representation,c_doc_rate,0.9776657060518732
sensitivity_legacy_frame_a_with_representation,c_and_a,125
sensitivity_legacy_frame_a_with_representation,c_and_a_rate,0.09005763688760807
sensitivity_legacy_frame_a_with_representation,c_and_b,935
sensitivity_legacy_frame_a_with_representation,c_and_b_rate,0.6736311239193083
sensitivity_legacy_frame_a_with_representation,c_and_a_and_b,87
sensitivity_legacy_frame_a_with_representation,c_and_a_and_b_rate,0.06268011527377522
alternative_a_representation_demographic_only,documents_total,1388
alternative_a_representation_demographic_only,a_doc_count,60
alternative_a_representation_demographic_only,a_doc_rate,0.043227665706051875
alternative_a_representation_demographic_only,non_a_doc_count,1328
alternative_a_representation_demographic_only,non_a_doc_rate,0.9567723342939481
alternative_a_representation_demographic_only,b_doc_count,948
alternative_a_representation_demographic_only,b_doc_rate,0.6829971181556196
alternative_a_representation_demographic_only,c_doc_count,1357
alternative_a_representation_demographic_only,c_doc_rate,0.9776657060518732
alternative_a_representation_demographic_only,c_and_a,60
alternative_a_representation_demographic_only,c_and_a_rate,0.043227665706051875
alternative_a_representation_demographic_only,c_and_b,935
alternative_a_representation_demographic_only,c_and_b_rate,0.6736311239193083
alternative_a_representation_demographic_only,c_and_a_and_b,36
alternative_a_representation_demographic_only,c_and_a_and_b_rate,0.025936599423631124
