device_id,discourse_flow_stage,anchor_term,rhetorical_habitat,habitat_group,sentence
K080595,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"Tests were also conducted to validate performance including accuracy, precision and celllocation."
K080762,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,Substantial Equivalence/ Comparison to Predicate Devices: The intended use and performance characteristics for lB NeuroTM are substantially equivalent to the predicate devices listed in section 4 above for image analysis and processing and generation of parametric maps to provide additional information beyond standard imaging.
K080896,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"The test demonstrated Protein (total) < 12 g/dl adequate performance with pancreas- Cholesterol < 500 mg/dl related specimens, although performance Red blood cells < 0.4% concentrate is lower than for other tissues on the Gamma-globulin < 2.5 g/dl panel."
K081140,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,Performance Studies Design verification: Design verification testing of Visensia® hardware and software against the specified requirements has been conducted and Visensia® has been found to meet the specifications.
K081140,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"General Information JUL 1 7 2008 Trade Names of Device: Visensia® Visensia® with Alert Visensia® Alert Common/Usual Name: Accessory to multi-parameter patient monitor (bedside or ambulatory) Classification Name: Physiological Patient Monitor (with arrhythmia detection or alarms) Submitters Name and Address: OBS Medical 11495 N Pennsylvania St., Ste 250 Carmel, IN 46032 Tel 317-581-3937 Fax 317-581-8941 Manufacturer: OBS Medical 11495 N Pennsylvania St., Ste 250 Carmel, IN 46032 Tel 317-819-3937 "
K082483,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"(Radiology) (ISO 12052) · ANSI/AAMI Medical Device Software - Software Life Cycle Processes SW68:2001 * 21 CFR § 820 US Food and Drug Administration, Quality System Regulation · N/A General Principles of Software Validation; Final Guidance for Industry and FDA The performance of the software is also tested in accordance with Hologic's SOPs and testing procedures to demonstrate adequate performance."
K082483,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,QuantraTM 510(k) Submission Quantra has been designed and will be manufactured in accordance with the following standards: * ISO 13485 Medical Devices - Quality Management Systems * ISO 14971 Medical Devices - Application of Risk Management to Medical Devices * NEMA DICOM PS 3 Digital Imaging and Communications in Medicine (DICOM) Set.
K092116,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,Performance Characteristics Method Comparison A Method Comparison was conducted to compare the Easydell using Examiner Review (the Test Method) to the Reference Method.
K092967,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"Accuracy is best assessed by the multi-site clinical validation study (See Table 6.5 Origin Test Kit - FFPE Performance), which is based on n = 462 specimens."
K102778,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,Performance characteristics: A method comparison was conducted to compare CeliaVision DM1200 with the body fluid application (Test Method) to CeliaVision DM96 with the body fluid application (Reference Method).
