device_id,discourse_flow_stage,anchor_term,rhetorical_habitat,habitat_group,sentence
K241098,beta2_c_and_b,bias,technical_statistical_bias,D_technical_depoliticized,"As part of processing, the data is corrected by NeuroQuant for image acquisition artifacts, including gradient nonlinearities and bias field inhomogeneity, to improve overall image quality."
K241098,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,The V&V and performance data were provided in support of safety and effectiveness for the substantial equivalence determination.
K241098,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,Testing performed demonstrated that NeuroQuant meets all defined functionality requirements and performance claims.
K241098,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"Verification and Validation tests have been performed to address the intended use, the technological characteristics claims, requirement specifications, and the risk management results."
K183012,beta2_c_and_b,bias,technical_statistical_bias,D_technical_depoliticized,"As a result of this testing, the following analytic performance metrics have been established*: Lumen Area, Bias: 0.81mm2 [0.3, 1.9], Intercept: 0.65mm2 [-0.6, 0.9], tested range 0.3 - 290.1mm2 Slope: 1.01 [0.9, 1.0], Quadratic term: 0.0 [0.0, 0.0], R2: 0.9987 Wall Area, Bias: 0.50mm2 [-1.08, 1.29], Intercept: -0.59mm2 [-4.1, 2."
K183012,beta2_c_and_b,bias,technical_statistical_bias,D_technical_depoliticized,"8.0], tested range 9.4 - 448.6mm2 Slope: 1.0 [0.99, 1.04], Quadratic term: 0.0 [0.0, 0.0], R2: 0.9974 Stenosis**, Vessels ≥5.9mm: Bias: 3.7% [1.29, 4.47], Intercept: 5.99% [-0.81, 9.93], tested range 33-69% Slope: 0.96 [0.84, 1.1], Quadratic term: -0.01 [-0.02, 0.01], R2: 0.8034 Vessels <5.9mm: Bias: 9.3% [2.14, 12.72], Intercept: 34.0% [-2.3, 38.9], Structure Slope: 0.55 [0.42, 1.21], Quadratic term: 0.001 [-0.02, 0.06], R2: 0.9549 Wall Thickness, Bias: 0.5mm [0.3, 0.6], Intercept: 0.27mm [-0.1"
K183012,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"Technological Characteristics Comparing to the Predicate: vascuCAP A.1.2 has all the same technological characteristics and features as vascuCAP A.1, but refines processing algorithms to improve measurement performance."
K183012,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"Performance Data: Software verification and validation: Software verification and validation consistent with FDA guidance on “General Principles of Software Validation” was conducted, comprising quality planning, requirements analysis, design reviews, software construction, and testing."
K183012,beta2_c_and_b,mitigation,generic_regulatory_other,F_other_regulatory,"Use of such calculations as %stenosis by area, also available from vascuCAP, mitigates but does not completely avoid this issue."
K153427,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,Performance Data The Volpara software has been verified and validated according to the company’s design control process.
K153427,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"The modified device was tested and determined to be compliant to the following standards: ISO 14971:2012 Medical devices – Application of risk management to medical devices; 1SO 62304-2006 Software Life Cycle Processes, DICOM 2015."
K153427,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"Risk management is ensured via a risk analysis, which is used to identify potential hazards."
K243567,beta2_c_and_b,subgroup,subgroup_stratification,E_subgroup_performance,"Similar results were also shown within the subgroup analysis, as evidence that the device accuracy is consistent with age and sex groups, additional abnormal lung sounds and recordings generated by clinician or lay-user."
K243567,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,able to analyze the Detection was not recording able to analyze the recording Performance AUC: 0.96 AUC: 0.97 Substantially equivalent.
K243567,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"Performance evaluation: SW verification and validation - The software including both custom developed software and OTS software, have been verified and validated and have been demonstrated to be safe and effective for its intended use."
K243567,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"(0.92–0.98) (0.95–0.98) Estimate two-sided 95% Estimate two-sided 95% Cl): Cl): Sensitivity: 0.60 (0.50- Sensitivity: 0.72 (0.63- 0.69) 0.79) Specificity: 0.99 (0.97 - Specificity: 0.99 (0.97 - 1.00) 1.00) User interface Web view Web view Same Standards Conformance  ANSI AAMI ISO 14971:2019, Medical devices - Application of risk management to medical devices  ANSI AAMI IEC 62304:2006/A1:2016, Medical device software - Software life cycle processes  ISO 15223-1 Fourth edition 2021-07, Medical "
K211764,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"All other system components are identical to the currently marketed and predicate device, Vereos PET/CT (K210880) and have the same functionality and performance."
K211764,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,Summary of Non- Non-clinical performance testing has been performed on the proposed Vereos Clinical Performance PET/CT system and demonstrates compliance with the following International and Data: FDA recognized consensus standards and FDA guidance document(s).
K211764,beta2_c_and_b,mitigation,generic_regulatory_other,F_other_regulatory,Design Verification also included image quality verification and risk analysis risk mitigation testing.
K211764,beta2_c_and_b,mitigation,generic_regulatory_other,F_other_regulatory,"PHILIPS SECTION 5 HA300-006-05 BG Diagnostic Revision: 01 510(K) SUMMARY Imaging Status: Approved Page: 5 of 5 CT/AMI The traceability between the requirements, the hazard mitigations and the test protocols are described in the Traceability Matrix."
K211764,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"The Philips Vereos PET/CT system is used for the purpose of detecting, localizing, diagnosing, staging, re-staging and follow-up for monitoring therapy response of various diseases in oncology, cardiology and neurology."
K211764,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"The PET/CT system is used for the purpose of detecting, localizing, diagnosing, staging, re-staging, and follow-up for monitoring therapy response of various diseases in oncology, cardiology and neurology."
K211764,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,• IEC 62366-1:2015: Medical devices — Part 1: Application of usability engineering to medical devices (FDA Recognition Number: 5-114) • IEC 62304:2006 + A1: 2015: Medical device software - Software life-cycle processes (FDA Recognition Number: 13-79) • ISO 10993-1:2018: Biological evaluation of medical devices - Part 1: Evaluation and testing within a risk management process (FDA Recognition Number: 2-258) • ISO 14971:2007 Medical devices – Application of risk management to medical devices (FDA 
K203744,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,Performance Data Safety and performance of Arterys MICA has been evaluated and verified in accordance with software specifications and applicable performance standards through software verification and validation testing.
K203744,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,A standalone performance assessment was performed on 90 Cardiac T1 Mapping MRI short axis (SAX) scans from 16 studies.
K203744,beta2_c_and_b,monitoring,device_hardware_monitor,D_technical_depoliticized,The client software is designed to run on standard personal and business computers and on monitors/screens that meet appropriate technical specifications for image diagnosis.
K203744,beta2_c_and_b,monitoring,device_hardware_monitor,D_technical_depoliticized,The client software is designed to run on standard personal and business computers and on monitors/screens that meet appropriate technical specifications for image diagnosis.
K203744,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"The software verification and validation activities were performed as per IEC 62304:2006/AC:2015- Medical device software – Software life cycle processes and ISO 14971:2019 Medical devices -- Application of risk management to medical devices, in addition to the FDA Guidance documents Guidance for the Content of Premarket Submissions for Software Contained in Medical Devices and Content of Premarket Submission for Management of Cybersecurity in Medical Devices."
K202280,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"Rather, it represents a more robust semiautomatic software intended to enhance the performance of time-intensive, potentially error-prone, manual tasks, thereby improving efficiency for medical professionals in the assessment of coronary artery disease (CAD)."
