category,device_id,sentence,ml_subtype,rule_score
measurement_labeling,K033840,"The general controls provisions of the Act include requirements for annual registration, listing of devices, good manufacturing practice, labeling, and prohibitions against misbranding and adulteration.",數據清洗 / Data Cleaning,3
measurement_labeling,K033840,"You must comply with all the Act's requirements, including, but not limited to: registration and listing (21 CFR Part 807); labeling (21 CFR Parts 801 and 809); and good manufacturing practice requirements as set forth in the quality systems (QS) regulation (21 CFR Part 820).",數據清洗 / Data Cleaning,2
measurement_labeling,K033840,"If you desire specific information about the application of labeling requirements to your device, or questions on the promotion and advertising of your device, please contact the Office of In Vitro Diagnostic Device Evaluation and Safety at (301) 594-3084.",數據清洗 / Data Cleaning,1
measurement_labeling,K043341,"You must comply with all the Act's requirements, including, but not limited to: registration and listing (21 CFR Part 807); labeling (21 CFR Part 80 1); good manufacturing practice requirements as set forth in the quality systems (QS) regulation (21 CFR Part 820); and if applicable, the electronic product radiation control provisions (Sections 531-542 of the Act); 21 CFR 1000-1 050.",數據清洗 / Data Cleaning,2
measurement_labeling,K043341,"If you desire specific advice for your device on our labeling regulation (21 CFR Part 801), please contact the Office of Compliance at (240) 276-013 1.",數據清洗 / Data Cleaning,1
measurement_labeling,K080595,"If you desire specific advice for your device on our labeling regulation (21 CFR Part 801), please contact the Office of In Vitro Diagnostic Device Evaluation and Safety at (240) 276-0450.",數據清洗 / Data Cleaning,1
measurement_labeling,K080762,"Act's requirements, -including, but not limited to: registration and listing (21 CFR Part 807); labeling (21 CFR-Part 801); good manufacturing practice'requirements as set forth in the quality systems (QS) regulation.(21 CFR Part 820); and if applicable, the electronic product radiation control provisions (Sections 531-542 of the Act); 21' CFR 1000-1050.",數據清洗 / Data Cleaning,2
measurement_labeling,K080762,"If you desire specific advice for your device on our labeling rbgulation (21 CFR Part 801), please contact the Center for Devices'and Radiological Health's (CDRI9's) Office bf Compliance at one of the following numbers, based on the.",數據清洗 / Data Cleaning,1
measurement_labeling,K080896,The Office of In Vitro Diagnostic Device Evaluation and Safety has determined that there is a reasonable likelihood that this device will be used for an intended use not identified in the proposed labeling and that such use could cause harm.,誤差消除 / Error Elimination,1
measurement_labeling,K080896,"Therefore, in accordance with Section 513(i)(1)(E) of the Act, the following limitation must appear under the Indications for Use section of the device's labeling and the patient test report: The Pathwork® Tissue of Origin Test is not intended to establish the origin of tumors (e.g.",誤差消除 / Error Elimination,1
measurement_labeling,K080896,Page 2 Please note that the above labeling limitations are required by Section 513(i)(1)(E) of the Act.,誤差消除 / Error Elimination,1
measurement_labeling,K080896,"Therefore, a new 510(k) is required before these limitations are modified in any way or removed from the device's labeling.",誤差消除 / Error Elimination,1
measurement_labeling,K080896,This letter will allow you to begin marketing your device as described in your Section 510(k) premarket notification if the limitation statement described above is added to your labeling.,誤差消除 / Error Elimination,1
measurement_labeling,K080896,"If you desire specific information about the application of other labeling requirements to your device, or questions on the promotion and advertising of your device, please contact the Office of In Vitro Diagnostic Device Evaluation and Safety at (240) 276-0450.",數據清洗 / Data Cleaning,1
measurement_labeling,K081140,"Wayne Nethercutt CFR Part 807); labeling (21 CFR Part 801); good manufacturing practice requirements as set forth in the quality systems (QS) regulation (21 CFR Part 820); and if applicable, the electronic product radiation control provisions (Sections 531-542 of the Act); 21 CFR 1000-1050.",數據清洗 / Data Cleaning,2
measurement_labeling,K081140,"If you desire specific advice for your device on our labeling regulation (21 CFR Part 801), please contact the Center for Devices and Radiological Health's (CDRH's) Office of Compliance at (240) 276-0120.",數據清洗 / Data Cleaning,1
measurement_labeling,K082483,General Safety and Effectiveness Concerns: The device labeling contains instructions for use and any necessary cautions and warnings to provide for safe and effective use of this device.,數據清洗 / Data Cleaning,1
measurement_labeling,K082483,"You must comply with all the Act's requirements, including, but not limited to: registration and listing (21 CFR Part 807); labeling (21 CFR Part 801); good manufacturing practice requirements as set forth in the quality systems (QS) regulation (21 CFR Part 820); and if applicable, the electronic product radiation control provisions (Sections 531-542 of the Act); 21 CFR 1000-1050.",數據清洗 / Data Cleaning,2
measurement_labeling,K082483,"If you desire specific advice for your device on our labeling regulation (21 CFR Part 801), please contact the Office of Compliance at one of the following numbers, based on the regulation number at the top of this letter: 21 CFR 876.xxx (Gastroenterology/Renal/Urology 240-276-0115 21 CFR 884.xxx (Obstetrics/Gynecology) 240-276-0115 21 CFR 894.xxx (Radiology) 240-276-0120 Other 240-276-0100 Also, please note the regulation entitled, ""Misbranding by reference to premarket notification"" (21CFR Part 807.97).",數據清洗 / Data Cleaning,2
measurement_labeling,K092116,"You must comply with all the Act's requirements, including, but not limited to: registration and listing (21 CFR Part 807); labeling (21 CFR Parts 801 and 809); medical device reporting (reporting of medical device-related adverse events) (21 CFR 803); and good manufacturing practice requirements as set forth in the quality systems (QS) regulation (21 CFR Part 820).",數據清洗 / Data Cleaning,2
