device_id,text_path,total_words,tech_stat_terms_count,bio_label_terms_count,structural_social_terms_count,structural_core_count,mismatch_numerator,mismatch_denominator,mismatch_metric,mismatch_metric_is_inf,mismatch_metric_safe
K222176,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K222176.txt,5897,92,0,5,0,92,5,18.4,0,18.400000
K221456,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K221456.txt,3570,59,0,4,0,59,4,14.75,0,14.750000
K242130,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K242130.txt,11326,160,0,11,0,160,11,14.545454545454545,0,14.545455
K212616,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K212616.txt,9253,140,0,10,0,140,10,14.0,0,14.000000
K220499,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K220499.txt,3569,43,0,4,0,43,4,10.75,0,10.750000
K212365,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K212365.txt,4388,53,0,5,0,53,5,10.6,0,10.600000
K250685,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K250685.txt,4957,94,0,9,0,94,9,10.444444444444445,0,10.444444
K240003,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K240003.txt,5069,57,0,6,0,57,6,9.5,0,9.500000
K231871,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K231871.txt,4267,54,0,6,0,54,6,9.0,0,9.000000
K152733,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K152733.txt,6493,53,0,6,0,53,6,8.833333333333334,0,8.833333
K232436,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K232436.txt,3807,35,0,4,0,35,4,8.75,0,8.750000
K192854,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K192854.txt,6185,58,0,7,0,58,7,8.285714285714286,0,8.285714
K233590,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K233590.txt,3120,31,0,4,0,31,4,7.75,0,7.750000
K230899,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K230899.txt,4104,46,0,6,0,46,6,7.666666666666667,0,7.666667
K241439,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K241439.txt,4764,46,0,6,0,46,6,7.666666666666667,0,7.666667
K210670,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K210670.txt,6450,43,0,6,0,43,6,7.166666666666667,0,7.166667
K222884,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K222884.txt,4253,26,0,4,0,26,4,6.5,0,6.500000
K241232,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K241232.txt,5206,45,0,7,0,45,7,6.428571428571429,0,6.428571
K220164,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K220164.txt,3920,32,0,5,0,32,5,6.4,0,6.400000
K223754,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K223754.txt,4569,38,0,6,0,38,6,6.333333333333333,0,6.333333
K230074,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K230074.txt,3801,25,0,4,0,25,4,6.25,0,6.250000
K242594,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K242594.txt,4422,43,0,7,0,43,7,6.142857142857143,0,6.142857
K182149,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K182149.txt,4057,30,0,5,0,30,5,6.0,0,6.000000
K223443,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K223443.txt,4024,36,0,6,0,36,6,6.0,0,6.000000
K253265,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K253265.txt,4630,47,0,8,0,47,8,5.875,0,5.875000
K222746,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K222746.txt,3989,28,0,5,0,28,5,5.6,0,5.600000
K191994,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K191994.txt,3790,22,0,4,0,22,4,5.5,0,5.500000
K230292,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K230292.txt,3309,22,0,4,0,22,4,5.5,0,5.500000
K250003,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K250003.txt,23450,38,0,7,0,38,7,5.428571428571429,0,5.428571
K182373,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K182373.txt,4410,32,0,6,0,32,6,5.333333333333333,0,5.333333
K240845,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K240845.txt,4408,32,0,6,0,32,6,5.333333333333333,0,5.333333
K183285,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K183285.txt,3902,37,0,7,0,37,7,5.285714285714286,0,5.285714
K251590,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K251590.txt,3903,46,0,9,0,46,9,5.111111111111111,0,5.111111
K243268,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K243268.txt,3825,56,0,11,0,56,11,5.090909090909091,0,5.090909
K213353,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K213353.txt,3306,25,0,5,0,25,5,5.0,0,5.000000
K240353,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K240353.txt,4169,40,0,8,0,40,8,5.0,0,5.000000
K241620,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K241620.txt,4220,30,0,6,0,30,6,5.0,0,5.000000
K220439,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K220439.txt,3508,29,0,6,0,29,6,4.833333333333333,0,4.833333
K241725,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K241725.txt,5299,48,0,10,0,48,10,4.8,0,4.800000
K242171,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K242171.txt,6396,52,0,11,0,52,11,4.7272727272727275,0,4.727273
K240712,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K240712.txt,7381,47,0,10,0,47,10,4.7,0,4.700000
