term,count_within_50w_window,share_of_windows
age,836,1.126685
gender,449,0.605121
performance,395,0.532345
female,328,0.442049
bmi,278,0.374663
male,267,0.359838
testing,244,0.328841
distribution,241,0.324798
subgroups,237,0.319407
demographic,230,0.309973
ci,202,0.272237
table,197,0.265499
test,197,0.265499
training,190,0.256065
validation,185,0.249326
subgroup,143,0.192722
analysis,135,0.181941
sex,113,0.152291
algorithm,103,0.138814
sensitivity,98,0.132075
demographics,94,0.126685
specificity,82,0.110512
model,77,0.103774
size,63,0.084906
analyses,50,0.067385
cohort,48,0.064690
accuracy,46,0.061995
validated,45,0.060647
confidence,43,0.057951
significant,41,0.055256
sample,39,0.052561
variables,37,0.049865
compared,32,0.043127
stratified,32,0.043127
rate,31,0.041779
error,26,0.035040
auc,25,0.033693
metrics,25,0.033693
bias,21,0.028302
interval,20,0.026954
figure,14,0.018868
threshold,13,0.017520
comparison,11,0.014825
statistics,11,0.014825
roc,8,0.010782
curve,6,0.008086
metric,5,0.006739
statistical,5,0.006739
variable,5,0.006739
covariates,3,0.004043
significance,3,0.004043
fairness,2,0.002695
covariate,2,0.002695
stratification,1,0.001348
