anchor_keyword,tech_term,count
ethnicity,age,607
ethnicity,gender,367
ethnicity,female,243
ethnicity,performance,230
ethnicity,distribution,207
ethnicity,bmi,198
ethnicity,demographic,190
ethnicity,male,190
ethnicity,subgroups,177
ethnicity,testing,171
ethnicity,training,147
ethnicity,validation,144
ethnicity,test,132
ethnicity,table,111
ethnicity,ci,110
ethnicity,subgroup,91
ethnicity,algorithm,82
ethnicity,analysis,67
ethnicity,demographics,52
ethnicity,sex,49
ethnicity,model,49
ethnicity,sensitivity,39
ethnicity,size,33
ethnicity,specificity,31
ethnicity,accuracy,28
ethnicity,variables,28
ethnicity,rate,27
ethnicity,sample,27
ethnicity,validated,26
ethnicity,cohort,26
ethnicity,error,22
ethnicity,bias,20
ethnicity,significant,20
ethnicity,compared,18
ethnicity,analyses,17
ethnicity,confidence,15
ethnicity,metrics,12
ethnicity,threshold,11
ethnicity,auc,9
ethnicity,statistics,7
ethnicity,interval,6
ethnicity,roc,4
ethnicity,stratified,4
ethnicity,metric,4
ethnicity,comparison,4
ethnicity,curve,3
ethnicity,statistical,3
ethnicity,variable,3
ethnicity,fairness,2
ethnicity,covariates,2
ethnicity,figure,1
ethnicity,significance,1
race,age,229
race,performance,165
race,ci,92
race,table,86
race,female,85
race,gender,82
race,bmi,80
race,male,77
race,testing,73
race,analysis,68
race,test,65
race,sex,64
race,subgroups,60
race,sensitivity,59
race,subgroup,52
race,specificity,51
race,training,43
race,demographics,42
race,validation,41
race,demographic,40
race,distribution,34
race,analyses,33
race,size,30
race,model,28
race,stratified,28
race,confidence,28
race,cohort,22
race,algorithm,21
race,significant,21
race,validated,19
race,accuracy,18
race,auc,16
race,interval,14
race,compared,14
race,figure,13
race,metrics,13
race,sample,12
race,variables,9
race,comparison,7
race,error,4
race,roc,4
race,rate,4
race,statistics,4
race,curve,3
race,statistical,2
race,significance,2
race,threshold,2
race,variable,2
race,covariate,2
race,metric,1
race,covariates,1
race,bias,1
race,stratification,1
