device_id,has_race_token,has_ethnicity_token,has_race_or_ethnicity,has_racial_or_ethnic_adj,has_race_ethnicity_phrase,has_demographic_token,fda1_style_table_proxy
K003301,False,False,False,False,False,False,False
K033840,False,False,False,False,False,False,False
K043341,False,False,False,False,False,False,False
K080595,False,False,False,False,False,False,False
K080762,False,False,False,False,False,False,False
K080896,False,False,False,False,False,False,False
K081140,False,False,False,False,False,False,False
K082483,False,False,False,False,False,False,False
K092116,False,False,False,False,False,False,False
K092967,False,False,False,False,False,False,False
K102778,False,False,False,False,False,False,False
K111776,False,False,False,False,False,False,False
K120161,False,False,False,False,False,False,False
K120489,False,False,False,False,False,False,False
K120771,False,False,False,False,False,False,False
K121617,False,False,False,False,False,False,False
K123526,False,False,False,False,False,False,False
K130831,False,False,False,False,False,False,False
K131044,False,False,False,False,False,False,False
K133259,False,False,False,False,False,False,False
K133649,False,False,False,False,False,False,False
K141069,False,False,False,False,False,False,False
K141480,False,False,False,False,False,False,False
K141922,False,False,False,False,False,True,False
K142037,False,False,False,False,False,False,False
K142512,False,False,False,False,False,False,False
K142918,False,False,False,False,False,True,False
K143643,False,False,False,False,False,False,False
K150102,False,False,False,False,False,False,False
K150817,False,False,False,False,False,False,False
K152733,False,False,False,False,False,False,False
K153351,False,False,False,False,False,False,False
K153427,False,False,False,False,False,False,False
K160016,False,False,False,False,False,False,False
K160088,False,False,False,False,False,False,False
K160338,False,False,False,False,False,False,False
K160401,False,False,False,False,False,False,False
K161068,False,False,False,False,False,False,False
K161148,False,False,False,False,False,False,False
K161201,False,False,False,False,False,False,False
K161322,False,False,False,False,False,False,False
K161382,False,False,False,False,False,False,False
K161625,False,False,False,False,False,False,False
K161772,False,False,False,False,False,False,False
K161834,False,False,False,False,False,False,False
K161959,False,False,False,False,False,False,False
K162830,False,False,False,False,False,False,False
K162855,False,False,False,False,False,False,False
K163013,False,False,False,False,False,False,False
K163138,False,False,False,False,False,False,False
K163253,False,False,False,False,False,False,False
K163339,False,False,False,False,False,False,False
K163622,False,False,False,False,False,False,False
K163623,False,False,False,False,False,False,False
K163665,False,False,False,False,False,False,False
K163694,False,False,False,False,False,False,False
K170069,False,False,False,False,False,False,False
K170172,False,False,False,False,False,False,False
K170250,False,False,False,False,False,False,False
K170540,False,False,False,False,False,False,False
K170568,False,False,False,False,False,False,False
K170747,False,False,False,False,False,False,False
K170981,False,False,False,False,False,False,False
K171056,False,False,False,False,False,False,False
K171122,False,False,False,False,False,False,False
K171315,False,False,False,False,False,False,False
K171328,False,False,False,False,False,False,False
K171936,False,False,False,False,False,False,False
K172122,False,False,False,False,False,False,False
K172356,False,False,False,False,False,False,False
K172385,False,False,False,False,False,False,False
K172507,False,False,False,False,False,False,False
K172803,False,False,False,False,False,True,False
K172959,False,False,False,False,False,True,False
K172983,False,False,False,False,False,False,False
K173327,False,False,False,False,False,False,False
K173420,False,False,False,False,False,False,False
K173444,False,False,False,False,False,False,False
K173542,False,False,False,False,False,False,False
K173574,False,False,False,False,False,False,False
K173588,False,False,False,False,False,False,False
K173605,False,False,False,False,False,False,False
K173749,False,False,False,False,False,False,False
K173780,False,False,False,False,False,False,False
K173810,False,False,False,False,False,False,False
K173821,False,False,False,False,False,False,False
K173839,False,False,False,False,False,False,False
K173872,False,False,False,False,False,False,False
K173939,False,False,False,False,False,False,False
K180038,False,False,False,False,False,False,False
K180091,False,False,False,False,False,False,False
K180126,False,False,False,False,False,False,False
K180161,False,False,False,False,False,False,False
K180163,False,False,False,False,False,True,False
K180343,False,False,False,False,False,False,False
K180432,False,False,False,False,False,True,False
K180589,False,False,False,False,False,False,False
K180599,False,False,False,False,False,False,False
K180647,False,False,False,False,False,False,False
K180799,False,False,False,False,False,False,False
K180867,False,False,False,False,False,False,False
K181247,False,False,False,False,False,False,False
K181288,False,False,False,False,False,False,False
K181352,False,False,False,False,False,False,False
K181502,False,False,False,False,False,False,False
K181572,False,False,False,False,False,False,False
K181574,False,False,False,False,False,False,False
K181685,False,False,False,False,False,False,False
K181704,False,False,False,False,False,False,False
K181771,False,False,False,False,False,False,False
K181823,False,False,False,False,False,False,False
K181861,False,False,False,False,False,False,False
K181892,False,False,False,False,False,False,False
K181916,False,False,False,False,False,False,False
K181939,False,False,False,False,False,False,False
K181988,False,False,False,False,False,False,False
K182034,False,False,False,False,False,False,False
K182035,False,False,False,False,False,False,False
K182112,False,False,False,False,False,False,False
K182130,False,False,False,False,False,False,False
K182149,False,False,False,False,False,False,False
K182177,False,False,False,False,False,False,False
K182181,False,False,False,False,False,False,False
K182218,False,False,False,False,False,True,False
K182310,False,False,False,False,False,False,False
K182336,False,False,False,False,False,False,False
K182344,False,False,False,False,False,False,False
K182373,False,False,False,False,False,False,False
K182384,False,False,False,False,False,False,False
K182419,False,False,False,False,False,False,False
K182456,False,False,False,False,False,False,False
K182513,False,False,False,False,False,False,False
K182564,False,False,False,False,False,False,False
K182616,False,False,False,False,False,False,False
K182790,False,False,False,False,False,False,False
K182798,False,False,False,False,False,False,False
K182875,False,False,False,False,False,False,False
K182901,False,False,False,False,False,False,False
K183012,False,False,False,False,False,False,False
K183019,False,False,False,False,False,False,False
K183046,False,False,False,False,False,False,False
K183089,False,False,False,False,False,False,False
K183133,False,False,False,False,False,False,False
K183182,False,False,False,False,False,False,False
K183202,False,False,False,False,False,False,False
K183204,False,False,False,False,False,False,False
K183231,False,False,False,False,False,False,False
K183268,False,False,False,False,False,False,False
K183271,False,False,False,False,False,False,False
K183272,False,False,False,False,False,False,False
K183274,False,False,False,False,False,False,False
K183282,False,False,False,False,False,False,False
K183285,False,False,False,False,False,False,False
K183322,False,False,False,False,False,False,False
K183370,False,False,False,False,False,True,False
K183460,False,False,False,False,False,False,False
K183489,False,False,False,False,False,False,False
K183593,False,False,False,False,False,False,False
K183646,False,False,False,False,False,False,False
K183648,False,False,False,False,False,False,False
K183704,False,False,False,False,False,False,False
K190013,False,False,False,False,False,False,False
K190017,False,False,False,False,False,False,False
K190072,False,False,False,False,False,False,False
K190334,False,False,False,False,False,False,False
K190362,False,False,False,False,False,False,False
K190387,False,False,False,False,False,False,False
K190424,False,False,False,False,False,False,False
K190442,False,False,False,False,False,True,False
K190529,False,False,False,False,False,False,False
K190593,False,False,False,False,False,False,False
K190764,False,False,False,False,False,True,False
K190815,False,False,False,False,False,False,False
K190868,False,False,False,False,False,False,False
K190896,False,False,False,False,False,False,False
K190898,False,False,False,False,False,False,False
K190925,False,False,False,False,False,False,False
K191026,False,False,False,False,False,False,False
K191083,False,False,False,False,False,False,False
K191125,False,False,False,False,False,False,False
K191171,False,False,False,False,False,False,False
K191179,False,False,False,False,False,False,False
K191183,False,False,False,False,False,False,False
K191194,False,False,False,False,False,False,False
K191262,False,False,False,False,False,False,False
K191278,False,False,False,False,False,False,False
K191370,False,False,False,False,False,False,False
K191384,False,False,False,False,False,False,False
K191493,False,False,False,False,False,False,False
K191550,False,False,False,False,False,False,False
K191556,False,False,False,False,False,False,False
K191585,False,False,False,False,False,False,False
K191647,False,False,False,False,False,False,False
K191688,False,False,False,False,False,False,False
K191713,False,False,False,False,False,True,False
K191928,False,False,False,False,False,False,False
K191994,False,False,False,False,False,False,False
K192004,False,False,False,False,False,False,False
