slice,n_docs,pct_of_corpus,metric,doc_count,rate
all_corpus,1388,100.0000,normative_a,8,0.005764
all_corpus,1388,100.0000,fairness_broad,422,0.304035
all_corpus,1388,100.0000,frame_b,948,0.682997
all_corpus,1388,100.0000,demographic,309,0.222622
all_corpus,1388,100.0000,subgroup,337,0.242795
scenario_explicit_yes,132,9.5101,normative_a,3,0.022727
scenario_explicit_yes,132,9.5101,fairness_broad,54,0.409091
scenario_explicit_yes,132,9.5101,frame_b,86,0.651515
scenario_explicit_yes,132,9.5101,demographic,39,0.295455
scenario_explicit_yes,132,9.5101,subgroup,32,0.242424
scenario_explicit_no,1256,90.4899,normative_a,5,0.003981
scenario_explicit_no,1256,90.4899,fairness_broad,368,0.292994
scenario_explicit_no,1256,90.4899,frame_b,862,0.686306
scenario_explicit_no,1256,90.4899,demographic,270,0.214968
scenario_explicit_no,1256,90.4899,subgroup,305,0.242834
scenario_population_yes,412,29.6830,normative_a,6,0.014563
scenario_population_yes,412,29.6830,fairness_broad,167,0.405340
scenario_population_yes,412,29.6830,frame_b,292,0.708738
scenario_population_yes,412,29.6830,demographic,144,0.349515
scenario_population_yes,412,29.6830,subgroup,141,0.342233
scenario_population_no,976,70.3170,normative_a,2,0.002049
scenario_population_no,976,70.3170,fairness_broad,255,0.261270
scenario_population_no,976,70.3170,frame_b,656,0.672131
scenario_population_no,976,70.3170,demographic,165,0.169057
scenario_population_no,976,70.3170,subgroup,196,0.200820
scenario_workflow_yes,695,50.0720,normative_a,6,0.008633
scenario_workflow_yes,695,50.0720,fairness_broad,256,0.368345
scenario_workflow_yes,695,50.0720,frame_b,448,0.644604
scenario_workflow_yes,695,50.0720,demographic,179,0.257554
scenario_workflow_yes,695,50.0720,subgroup,205,0.294964
non_a_normative,1380,99.4236,normative_a,0,0.000000
non_a_normative,1380,99.4236,fairness_broad,414,0.300000
non_a_normative,1380,99.4236,frame_b,942,0.682609
non_a_normative,1380,99.4236,demographic,303,0.219565
non_a_normative,1380,99.4236,subgroup,333,0.241304
non_a_normative_and_C,1349,97.1902,normative_a,0,0.000000
non_a_normative_and_C,1349,97.1902,fairness_broad,413,0.306153
non_a_normative_and_C,1349,97.1902,frame_b,929,0.688658
non_a_normative_and_C,1349,97.1902,demographic,301,0.223128
non_a_normative_and_C,1349,97.1902,subgroup,333,0.246850
non_a_normative_and_C_and_B,929,66.9308,normative_a,0,0.000000
non_a_normative_and_C_and_B,929,66.9308,fairness_broad,400,0.430571
non_a_normative_and_C_and_B,929,66.9308,frame_b,929,1.000000
non_a_normative_and_C_and_B,929,66.9308,demographic,216,0.232508
non_a_normative_and_C_and_B,929,66.9308,subgroup,228,0.245425
