rank,term,count,pct_of_filtered,domain_tags
1,predicate,20227,1.0459,regulatory_process
2,performance,12248,0.6333,technical_performance
3,testing,9489,0.4906,technical_performance
4,imaging,9443,0.4883,clinical_evidence
5,analysis,8499,0.4394,
6,results,6794,0.3513,
7,quality,6454,0.3337,governance_compliance
8,reporting,6373,0.3295,
9,user,6262,0.3238,
10,dice,6244,0.3229,
11,systems,6054,0.3130,
12,ultrasound,5897,0.3049,
13,radiological,5744,0.2970,
14,subpart,5736,0.2966,
15,regulations,5640,0.2916,
16,algorithm,5533,0.2861,technical_performance
17,collection,5472,0.2829,
18,standard,5094,0.2634,
19,processing,5093,0.2633,
20,time,4941,0.2555,
21,dicom,4845,0.2505,
22,study,4801,0.2482,clinical_evidence
23,test,4752,0.2457,technical_performance
24,date,4652,0.2405,
25,segmentation,4337,0.2242,
26,detection,4292,0.2219,
27,good,4287,0.2217,
28,manufacturing,4265,0.2205,regulatory_process
29,additional,4252,0.2199,
30,registration,4165,0.2154,
31,note,4162,0.2152,
32,equivalence,4122,0.2131,
33,comparison,4086,0.2113,
34,substantial,4052,0.2095,
35,form,3971,0.2053,
36,burden,3970,0.2053,
37,characteristics,3917,0.2025,
38,pra,3821,0.1976,
39,primary,3750,0.1939,
40,effectiveness,3719,0.1923,
41,human,3711,0.1919,
42,marketed,3708,0.1917,
43,services,3697,0.1912,
44,must,3657,0.1891,
45,cases,3635,0.1880,
46,determination,3601,0.1862,
47,cardiac,3580,0.1851,
48,include,3542,0.1831,
49,inc,3475,0.1797,
50,management,3468,0.1793,governance_compliance
51,cleared,3446,0.1782,regulatory_process
52,email,3411,0.1764,
53,technological,3409,0.1763,
54,accordance,3376,0.1746,
55,provides,3289,0.1701,
56,set,3267,0.1689,
57,events,3246,0.1678,
58,practice,3243,0.1677,
59,limited,3224,0.1667,
60,mean,3182,0.1645,
61,provided,3179,0.1644,
62,per,3166,0.1637,
63,one,3142,0.1625,
64,measurements,3142,0.1625,
65,staff,3119,0.1613,
66,trained,3113,0.1610,
67,model,3091,0.1598,technical_performance
68,support,3084,0.1595,
69,pma,3082,0.1594,
70,reduction,3058,0.1581,
71,radiation,3034,0.1569,
72,output,3025,0.1564,
73,division,2994,0.1548,
74,care,2952,0.1526,
75,required,2948,0.1524,
76,brain,2940,0.1520,
77,planning,2923,0.1511,
78,volume,2913,0.1506,
79,type,2882,0.1490,
80,market,2877,0.1488,
81,medical-devices,2875,0.1487,
82,needed,2851,0.1474,
83,performed,2834,0.1465,
84,different,2815,0.1456,
85,misbranding,2791,0.1443,
86,parts,2790,0.1443,
87,provide,2787,0.1441,
88,enclosure,2768,0.1431,
89,send,2759,0.1427,
90,iec,2753,0.1423,
91,triage,2734,0.1414,
92,questions,2697,0.1395,
93,criteria,2681,0.1386,
94,features,2657,0.1374,
95,diagnosis,2650,0.1370,
96,treatment,2650,0.1370,
97,compared,2611,0.1350,
98,hhs,2605,0.1347,
99,age,2555,0.1321,demographics_social
100,similar,2545,0.1316,
