frame,term,token_count,pct_of_filtered,mean_tfidf,doc_rate_any_token
frame_a_normative,equity,0,0.0000,0.000000,
frame_a_normative,fairness,1,0.0001,0.000001,
frame_a_normative,representation,179,0.0093,0.000292,
frame_a_normative,representativeness,10,0.0005,0.000029,
frame_b_governance,bias,318,0.0164,0.000439,
frame_b_governance,governance,0,0.0000,0.000000,
frame_b_governance,mitigation,154,0.0080,0.000280,
frame_b_governance,monitoring,1369,0.0708,0.001756,
frame_b_governance,postmarket,95,0.0049,0.000289,
frame_b_governance,risk,0,0.0000,0.000000,
frame_c_technical,accuracy,1867,0.0965,0.001682,
frame_c_technical,auc,808,0.0418,0.001139,
frame_c_technical,performance,12248,0.6333,0.006523,
frame_c_technical,sensitivity,2432,0.1257,0.002438,
frame_c_technical,specificity,1940,0.1003,0.002122,
frame_c_technical,subgroup,464,0.0240,0.000583,
