device_id,raw_token_count,filtered_token_count,unique_filtered
K003301,1197,623,303
K033840,1322,703,321
K043341,4607,3033,1053
K080595,1163,601,271
K080762,1062,545,339
K080896,2275,1278,480
K081140,1297,657,335
K082483,967,431,261
K092116,1339,695,334
K092967,4055,2584,829
K102778,1312,734,392
K111776,1187,544,325
K120161,1039,437,289
K120489,2208,1269,535
K120771,3880,2956,1735
K121617,1334,690,401
K123526,1023,499,285
K130831,4577,3261,763
K131044,1575,823,391
K133259,1620,846,460
K133649,1225,648,339
K141069,1493,741,364
K141480,1646,844,419
K141922,1646,763,384
K142037,1270,626,323
K142512,1905,998,404
K142918,1546,790,404
K143643,2774,1586,574
K150102,677,270,197
K150817,2527,1393,498
K152733,4100,2647,986
K153351,1676,903,416
K153427,1975,1072,421
K160016,1649,809,440
K160088,2236,1211,561
K160338,1678,804,366
K160401,1239,616,332
K161068,3400,1933,610
K161148,1731,881,410
K161201,1117,540,313
K161322,1883,1023,512
K161382,2291,1312,537
K161625,1351,642,377
K161772,2015,1024,429
K161834,1664,900,333
K161959,1967,1025,451
K162830,1724,789,407
K162855,1584,817,431
K163013,1629,819,401
K163138,2023,1134,499
K163253,1668,837,424
K163339,1812,1021,464
K163622,1556,734,374
K163623,1385,705,341
K163665,2674,1582,594
K163694,1544,729,372
K170069,2423,1247,445
K170172,1299,629,327
K170250,2489,1284,561
K170540,1694,967,412
K170568,2460,1310,506
K170747,2689,1394,567
K170981,1739,971,403
K171056,2527,1283,391
K171122,1839,958,406
K171315,2243,1228,453
K171328,1988,1048,469
K171936,1501,771,387
K172122,1452,719,409
K172356,2002,1158,490
K172385,2821,1695,591
K172507,1312,636,403
K172803,4020,2453,754
K172959,2015,1048,447
K172983,1623,771,366
K173327,2912,1696,620
K173420,2107,1072,464
K173444,2005,1148,461
K173542,1439,689,351
K173574,1890,1009,402
K173588,2598,1305,520
K173605,1140,522,321
K173749,783,315,232
K173780,1813,964,449
K173810,1294,600,308
K173821,1724,1001,437
K173839,1745,959,404
K173872,1906,960,451
K173939,1576,817,385
K180038,4498,2910,737
K180091,1122,525,295
K180126,1430,692,399
K180161,1915,1047,436
K180163,2885,1670,749
K180343,2651,1631,540
K180432,2634,1470,531
K180589,2694,1341,595
K180599,3076,1996,507
K180647,2517,1265,550
K180799,2652,1629,520
K180867,2023,1073,396
K181247,3009,1628,599
K181288,3079,1948,725
K181352,2445,1269,512
K181502,1734,870,429
K181572,2425,1231,482
K181574,1642,992,385
K181685,3160,2231,551
K181704,2679,1391,615
K181771,1507,732,363
K181823,1951,1032,440
K181861,1807,891,431
K181892,1469,752,383
K181916,4114,2455,717
K181939,2013,1080,436
K181988,2112,1121,469
K182034,1658,816,460
K182035,1210,556,286
K182112,2577,1374,550
K182130,3174,1821,639
K182149,3083,1608,700
K182177,1471,723,412
K182181,1065,503,330
K182218,2982,1690,636
K182310,1937,1025,394
K182336,1310,625,397
K182344,1883,932,440
K182373,3347,1858,579
K182384,2892,1703,593
K182419,3256,1775,729
K182456,2089,1110,517
K182513,1098,559,313
K182564,1893,1040,476
K182616,1934,1028,486
K182790,1963,1006,496
K182798,2239,1135,474
K182875,2120,1059,501
K182901,1682,854,432
K183012,1722,954,489
K183019,2745,1332,623
K183046,1794,939,431
K183089,2146,1201,561
K183133,3891,2174,655
K183182,2372,1321,519
K183202,1973,1028,480
K183204,1734,903,449
K183231,1440,681,369
K183268,2606,1369,600
K183271,2701,1419,561
K183272,2249,1097,494
K183274,2903,1727,696
K183282,2506,1255,484
K183285,2919,1527,629
K183322,2286,1261,453
K183370,3072,1657,616
K183460,1419,638,397
K183489,1337,588,357
K183593,16,13,11
K183646,1140,563,289
K183648,3099,1782,561
K183704,1985,1013,456
K190013,3219,1662,487
K190017,4262,2393,681
K190072,2583,1290,533
K190334,1817,991,502
K190362,1947,980,455
K190387,1290,602,338
K190424,2061,1046,463
K190442,3980,2225,809
K190529,1603,808,437
K190593,1345,630,348
K190764,2236,1064,566
K190815,3911,2343,664
K190868,1894,971,494
K190896,2515,1269,521
K190898,4396,2780,867
K190925,1382,685,358
K191026,1605,741,361
K191083,2673,1269,550
K191125,3230,1726,642
K191171,1959,999,495
K191179,1548,819,444
K191183,1647,809,375
K191194,4083,2326,751
K191262,2128,1115,570
K191278,1582,830,382
K191370,2982,1652,510
K191384,1204,535,317
K191493,1867,887,494
K191550,2461,1409,544
K191556,2394,1269,519
K191585,2841,1710,701
K191647,1930,1093,460
K191688,1494,722,417
K191713,4292,2405,879
K191928,1664,833,442
K191994,2802,1632,515
K192004,2054,1053,493
K192051,2034,1232,486
K192065,2401,1273,589
K192107,3252,2169,481
K192109,1497,744,431
K192130,2050,1090,476
K192167,1644,848,470
K192279,1337,625,347
K192287,1753,843,450
K192304,1509,644,384
K192320,2127,1081,463
K192377,2012,1096,428
K192383,3260,1700,655
K192388,1373,680,369
K192415,2353,1302,490
K192437,1673,794,412
K192442,2876,1463,585
K192455,3401,1896,592
K192531,1763,884,432
K192571,710,273,209
K192574,1806,951,431
K192601,2684,1303,481
K192665,5523,3892,951
K192732,1378,643,334
K192763,2000,994,454
K192828,2044,1097,450
K192832,1727,904,433
K192854,3730,2237,699
K192880,2150,1158,480
K192901,2252,1147,471
K192945,2614,1290,579
K192956,2440,1202,499
K192962,2438,1343,476
K192969,1456,670,400
K192973,1753,982,420
K193073,1911,947,422
K193087,2842,1513,616
K193097,1978,1060,470
K193109,2701,1482,562
K193170,1956,985,489
K193176,1241,561,339
K193178,1939,1163,684
K193210,1806,858,422
K193216,3369,1853,691
K193220,3775,2245,760
K193229,2085,1053,513
K193248,2176,1218,497
K193252,2196,1218,470
K193267,2498,1297,580
K193271,2818,1591,696
K193281,1474,736,366
K193282,1706,849,448
K193283,2233,1152,544
K193287,1786,970,493
K193289,2321,1165,429
K193290,1849,894,464
K193294,2055,983,452
K193298,2649,1356,549
K193300,1886,994,464
K193306,1497,760,404
K193351,2086,1087,460
K193417,2023,1115,504
K193518,2415,1368,628
K193562,3265,1811,696
K193631,3204,1808,643
K193658,2226,1160,516
K200036,2248,1218,485
K200232,2869,1564,661
K200323,2317,1207,522
K200356,1110,513,335
K200497,1858,1036,534
K200569,1276,604,344
K200595,4137,2419,775
K200621,1661,820,425
K200667,4814,3014,736
K200708,1767,968,499
K200714,4678,2933,867
K200717,1590,739,452
K200743,1946,1114,544
K200750,2673,1501,553
K200755,1663,820,454
K200760,3356,1863,687
K200828,5008,3021,876
K200833,2257,1184,526
K200851,1700,922,483
K200852,1684,915,466
K200855,3049,1519,565
K200873,1682,797,416
K200905,2460,1300,507
K200921,3155,1635,590
K200941,2779,1438,563
K200974,2186,1201,441
K200980,1657,851,441
K200990,2167,1219,478
K201012,5957,3514,521
K201019,2407,1280,519
K201020,2853,1480,570
K201034,2272,1218,526
K201039,2323,1302,523
K201103,2985,1586,632
K201195,2122,1089,492
K201232,2287,1137,453
K201298,3058,1738,674
K201301,2203,1245,524
K201310,2107,1080,485
K201369,2851,1459,574
K201411,1447,721,355
K201444,2282,1206,541
K201555,2246,1145,550
K201560,1710,852,427
K201615,1565,738,420
K201632,3592,2172,769
K201710,3484,2057,646
K201745,2236,1172,509
K201836,1767,909,427
K201841,1530,771,373
K201985,2220,1157,420
K201992,1274,597,358
K202013,1707,936,412
K202089,2200,1304,431
K202170,3661,2025,651
K202212,1999,1100,499
K202229,1988,1007,450
K202238,1679,829,443
K202280,2178,1064,539
K202284,1941,1010,473
K202300,6487,3545,1138
K202404,1788,858,455
K202414,1476,776,378
K202441,1687,847,459
K202487,1861,890,417
K202501,2666,1384,576
K202527,1670,791,422
K202546,1224,560,351
K202700,4619,2662,843
K202718,2525,1355,546
K202767,1701,884,418
K202927,2368,1269,615
K202928,2752,1455,569
K202990,1764,907,398
K202992,2861,1498,606
K203042,1901,1000,474
K203103,2216,1164,517
K203169,1885,915,434
K203182,1463,689,389
K203225,1991,1021,458
K203235,3157,1739,647
K203256,1382,668,358
K203258,3988,2240,805
K203260,1526,721,402
K203280,3889,2135,697
K203314,2197,1132,498
K203323,1744,917,404
K203329,1674,867,403
K203443,2902,1629,735
K203448,2783,1427,569
K203469,1448,645,362
K203502,1323,638,381
K203508,9378,4889,517
K203514,2019,1015,479
K203517,2509,1319,544
K203555,2040,1061,391
K203578,1501,729,403
K203582,2723,1524,630
K203610,1959,1002,455
K203617,1769,820,430
K203629,2301,1106,532
K203696,1635,798,428
K203744,1985,1008,526
K203783,2202,1138,484
K203785,2070,1110,472
K203822,2178,1239,462
K210001,1554,734,397
K210034,5614,3602,838
K210053,1373,646,393
K210069,1951,1081,483
K210071,1942,888,435
K210085,2358,1207,508
K210187,1861,974,486
K210209,1998,1033,476
K210237,3167,1574,567
K210365,3084,1815,681
K210404,2199,1095,524
K210426,1579,800,398
K210438,2097,1161,494
K210458,2763,1498,508
K210484,1838,913,483
K210543,3199,1696,588
K210556,2316,1256,566
K210611,2374,1207,618
K210632,1932,1033,393
K210645,1957,980,475
K210666,2354,1325,563
K210670,4575,2723,818
K210719,1946,868,497
K210747,1864,958,445
K210760,2142,1064,449
K210791,2090,1115,595
K210807,2178,1130,465
K210822,2653,1302,512
K210831,2425,1304,553
K210999,1849,874,460
K211118,1418,662,370
K211161,2042,1129,462
