rank,term,count,pct_of_corpus
1,the,220482,6.1039
2,and,142417,3.9427
3,for,72915,2.0186
4,device,68581,1.8986
5,with,32079,0.8881
6,that,27335,0.7568
7,cfr,27281,0.7553
8,use,25554,0.7074
9,not,25286,0.7000
10,software,21836,0.6045
11,devices,21272,0.5889
12,fda,20488,0.5672
13,predicate,20227,0.5600
14,medical,20012,0.5540
15,information,19779,0.5476
16,system,19375,0.5364
17,are,16812,0.4654
18,intended,16546,0.4581
19,images,16407,0.4542
20,data,15948,0.4415
21,this,15595,0.4317
22,image,14556,0.4030
23,gov,13502,0.3738
24,may,13385,0.3706
25,part,13311,0.3685
26,subject,12510,0.3463
27,product,12482,0.3456
28,performance,12248,0.3391
29,from,12099,0.3350
30,www,11569,0.3203
31,act,11334,0.3138
32,name,11209,0.3103
33,requirements,11055,0.3061
34,was,10989,0.3042
35,used,10650,0.2948
36,regulation,10566,0.2925
37,your,10561,0.2924
38,clinical,10347,0.2865
39,page,10104,0.2797
40,premarket,9898,0.2740
41,please,9676,0.2679
42,testing,9489,0.2627
43,imaging,9443,0.2614
44,including,9412,0.2606
45,https,9374,0.2595
46,same,9193,0.2545
47,class,9114,0.2523
48,other,9065,0.2510
49,notification,9047,0.2505
50,number,8890,0.2461
51,analysis,8499,0.2353
52,indications,8340,0.2309
53,were,8245,0.2283
54,safety,7929,0.2195
55,have,7913,0.2191
56,yes,7582,0.2099
57,see,7302,0.2022
58,all,7266,0.2012
59,summary,7211,0.1996
60,patient,7193,0.1991
61,diagnostic,7111,0.1969
62,products,7072,0.1958
63,federal,7034,0.1947
64,review,6897,0.1909
65,health,6837,0.1893
66,results,6794,0.1881
67,controls,6757,0.1871
68,regulatory,6732,0.1864
69,labeling,6639,0.1838
70,can,6468,0.1791
71,quality,6454,0.1787
72,application,6432,0.1781
73,reporting,6373,0.1764
74,user,6262,0.1734
75,dice,6244,0.1729
76,code,6164,0.1706
77,systems,6054,0.1676
78,has,6032,0.1670
79,equivalent,5960,0.1650
80,both,5932,0.1642
81,ultrasound,5897,0.1633
82,new,5870,0.1625
83,combination,5835,0.1615
84,does,5780,0.1600
85,you,5768,0.1597
86,radiological,5744,0.1590
87,subpart,5736,0.1588
88,regulations,5640,0.1561
89,any,5579,0.1545
90,algorithm,5533,0.1532
91,drug,5527,0.1530
92,provisions,5506,0.1524
93,validation,5494,0.1521
94,which,5491,0.1520
95,collection,5472,0.1515
96,using,5455,0.1510
97,food,5453,0.1510
98,been,5375,0.1488
99,reference,5370,0.1487
100,also,5352,0.1482
