k_number,pdf_url,pdf_path,text_path,status,error
K003301,https://www.accessdata.fda.gov/cdrh_docs/pdf00/K003301.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/K003301.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/K003301.txt,failed,No PDF link found on PMN page.
K033840,https://www.accessdata.fda.gov/cdrh_docs/pdf3/K033840.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/K033840.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/K033840.txt,ok,
K043341,https://www.accessdata.fda.gov/cdrh_docs/pdf4/K043341.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/K043341.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/K043341.txt,ok,
K080595,https://www.accessdata.fda.gov/cdrh_docs/pdf8/K080595.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/K080595.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/K080595.txt,ok,
K080762,https://www.accessdata.fda.gov/cdrh_docs/pdf8/K080762.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/K080762.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/K080762.txt,ok,
K080896,https://www.accessdata.fda.gov/cdrh_docs/pdf8/K080896.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/K080896.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/K080896.txt,ok,
K081140,https://www.accessdata.fda.gov/cdrh_docs/pdf8/K081140.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/K081140.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/K081140.txt,ok,
K082483,https://www.accessdata.fda.gov/cdrh_docs/pdf8/K082483.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/K082483.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/K082483.txt,ok,
K092116,https://www.accessdata.fda.gov/cdrh_docs/pdf9/K092116.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/K092116.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/K092116.txt,ok,
K092967,https://www.accessdata.fda.gov/cdrh_docs/pdf9/K092967.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/K092967.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/K092967.txt,ok,
